order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r2_no_guarantee,r2_with_guarantee,r2_diff_abs,r2_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,dedupe_no_guarantee,dedupe_with_guarantee,dedupe_diff_abs,dedupe_diff_factor
0,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A
1,0,0,0,0,0,N/A,0,0,0,N/A,1,1,0,1.0,0,0,0,N/A,0,0,0,N/A
2,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,1,1,0,1.0,0,0,0,N/A
3,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,1,1,0,1.0,0,0,0,N/A
4,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,1,1,0,1.0,0,0,0,N/A
5,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,1,1,0,1.0,0,0,0,N/A
6,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,1,1,0,1.0,0,0,0,N/A
7,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,1,1,0,1.0,0,0,0,N/A
8,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,1,1,0,1.0,0,0,0,N/A
9,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,1,1,0,1.0,0,0,0,N/A
10,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,1,1,0,1.0,0,0,0,N/A
11,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,1,1,0,1.0,0,0,0,N/A
12,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,1,1,0,1.0,0,0,0,N/A
13,0,0,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,1,1,0,1.0,0,0,0,N/A
14,220,220,1414,1572,158,0.8995,1187,1323,136,0.8972,0,0,0,N/A,35,19,16,1.8421,1488,0,1488,N/A
