order_id,algorithm,time_taken (s),score (max_z),packing_score,fulfillment (%),volume_util (%),area_usage_z0 (%),cog_z,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
2600,BFD,1.3208,295,0.921,100.0,85.88,93.37,136.77,9078,,,,,,
2600,BNB,243.7035,293,0.911,100.0,86.47,91.77,138.73,25389,6838.0,1549.0,8373.0,51228.0,725321.0,793309.0
2600,FFD,0.0393,1395,0.196,100.0,18.16,20.86,642.3,1011,,,,,,
2600,RANDOM,0.2612,1375,0.226,100.0,18.43,38.71,533.31,3081,,,,,,
2601,BFD,1.2554,375,0.887,100.0,76.31,94.46,157.01,12582,,,,,,
2601,BNB,184.3385,333,0.911,100.0,85.93,92.98,156.51,21161,8510.0,1388.0,5860.0,29234.0,458343.0,503335.0
2601,FFD,0.027,1385,0.218,100.0,20.66,23.89,653.09,702,,,,,,
2601,RANDOM,1.2033,1382,0.181,73.08,14.45,36.79,518.82,14851,,,,,,
2602,BFD,1.6831,460,0.868,100.0,73.83,92.0,189.57,12894,,,,,,
2602,BNB,222.752,420,0.88,100.0,80.86,91.71,191.35,23026,7951.0,1904.0,6059.0,36735.0,631003.0,683652.0
2602,FFD,0.0344,1375,0.275,100.0,24.7,28.82,608.85,838,,,,,,
2602,RANDOM,0.0839,1340,0.31,100.0,25.34,45.91,519.31,919,,,,,,
2603,BFD,1.3705,345,0.824,100.0,72.36,87.92,148.69,14130,,,,,,
2603,BNB,402.3767,293,0.919,100.0,85.2,93.64,134.95,50857,18835.0,6512.0,11100.0,65548.0,1153028.0,1255023.0
2603,FFD,0.0388,1371,0.204,100.0,18.21,22.31,602.8,899,,,,,,
2603,RANDOM,0.0629,1276,0.265,100.0,19.57,51.83,410.59,603,,,,,,
2604,BFD,1.3777,398,0.83,100.0,69.09,90.27,159.08,13782,,,,,,
2604,BNB,212.4394,350,0.916,100.0,78.57,95.04,145.99,19170,5410.0,490.0,2299.0,44856.0,479008.0,532063.0
2604,FFD,0.0342,1395,0.216,100.0,19.71,22.87,630.82,825,,,,,,
2604,RANDOM,0.0746,1396,0.243,100.0,19.7,45.67,533.66,757,,,,,,
2605,BFD,1.3438,280,0.81,100.0,68.53,88.13,114.44,15024,,,,,,
2605,BNB,78.332,250,0.842,100.0,76.76,85.83,112.81,6534,293.0,99.0,2566.0,21600.0,392800.0,417358.0
2605,FFD,0.0349,1385,0.156,100.0,13.86,16.94,607.09,836,,,,,,
2605,RANDOM,0.0544,930,0.268,100.0,20.63,39.54,325.16,515,,,,,,
2606,BFD,1.3346,362,0.923,100.0,82.42,96.17,159.37,9054,,,,,,
2606,BNB,21.9162,360,0.893,100.0,82.88,90.93,165.94,1731,147.0,64.0,788.0,5066.0,66733.0,72798.0
2606,FFD,0.0267,1399,0.235,100.0,21.33,25.41,626.89,547,,,,,,
2606,RANDOM,2.2041,722,0.261,57.69,19.72,43.41,244.56,22148,,,,,,
2607,BFD,0.759,530,0.905,100.0,75.19,96.01,211.17,4698,,,,,,
2607,BNB,2.2401,0,0.0,0.0,,0.0,-1.0,130,0.0,0.0,58.0,467.0,3278.0,3803.0
2607,FFD,0.0252,1400,0.302,100.0,28.47,30.69,658.39,485,,,,,,
2607,RANDOM,0.102,1400,0.351,100.0,28.47,57.34,536.7,1465,,,,,,
2608,BFD,1.0688,400,0.889,100.0,77.86,96.5,171.75,9570,,,,,,
2608,BNB,10.9619,375,0.931,100.0,83.05,95.48,164.77,1350,611.0,100.0,532.0,1298.0,29608.0,32149.0
2608,FFD,0.0336,1400,0.247,100.0,22.24,26.65,621.44,653,,,,,,
2608,RANDOM,0.057,1378,0.286,100.0,22.6,50.29,504.74,391,,,,,,
2609,BFD,1.141,390,0.926,100.0,80.67,95.94,166.15,10698,,,,,,
2609,BNB,1012.1561,375,0.929,100.0,83.89,94.86,167.28,86111,23655.0,4588.0,28507.0,174717.0,2434895.0,2666362.0
2609,FFD,0.0271,1375,0.245,100.0,22.88,25.04,637.37,625,,,,,,
2609,RANDOM,0.1341,1370,0.268,100.0,22.96,47.35,570.9,1456,,,,,,
2610,BFD,1.5713,330,0.841,100.0,69.08,94.5,129.09,13434,,,,,,
2610,BNB,37.1293,280,0.877,100.0,81.42,89.96,129.17,3544,1197.0,118.0,739.0,6822.0,129021.0,137897.0
2610,FFD,0.0489,1385,0.185,100.0,16.46,20.84,605.28,988,,,,,,
2610,RANDOM,0.0487,983,0.287,100.0,23.19,38.84,375.46,550,,,,,,
2611,BFD,1.3145,393,0.801,100.0,65.64,88.61,153.22,12582,,,,,,
2611,BNB,1413.2808,330,0.895,100.0,78.17,93.02,141.12,116874,11997.0,1972.0,23324.0,374292.0,4846203.0,5257788.0
2611,FFD,0.0391,1375,0.207,100.0,18.76,22.39,615.99,643,,,,,,
2611,RANDOM,0.1029,1360,0.217,100.0,18.97,32.92,580.23,1504,,,,,,
2612,BFD,1.2509,446,0.885,100.0,80.04,90.56,199.33,9948,,,,,,
2612,BNB,95.7209,415,0.92,100.0,86.02,94.61,192.97,10382,4216.0,1103.0,2954.0,11954.0,220291.0,240518.0
2612,FFD,0.0235,1365,0.278,100.0,26.15,28.98,639.6,487,,,,,,
2612,RANDOM,0.7444,1355,0.24,76.92,22.12,35.09,618.53,13352,,,,,,
2613,BFD,1.0257,410,0.899,100.0,79.01,95.06,176.82,7866,,,,,,
2613,BNB,475.4788,380,0.909,100.0,85.25,92.21,177.32,52142,21449.0,3634.0,21113.0,61970.0,1509667.0,1617833.0
2613,FFD,0.0425,1365,0.263,100.0,23.73,30.55,607.89,829,,,,,,
2613,RANDOM,0.0844,1400,0.282,100.0,23.14,55.26,547.61,963,,,,,,
2614,BFD,1.1297,460,0.861,100.0,72.27,94.19,186.04,9966,,,,,,
2614,BNB,34.3609,430,0.869,100.0,77.31,91.45,188.38,3555,1496.0,416.0,1160.0,3465.0,75518.0,82055.0
2614,FFD,0.0275,1399,0.262,100.0,23.76,28.32,628.54,667,,,,,,
2614,RANDOM,2.5941,440,0.361,50.0,29.11,44.14,166.82,26063,,,,,,
2615,BFD,1.1478,328,0.874,100.0,77.08,89.38,142.06,10182,,,,,,
2615,BNB,756.9602,300,0.912,100.0,84.28,92.32,137.77,76638,16334.0,4942.0,12622.0,187540.0,2231363.0,2452801.0
2615,FFD,0.0385,1365,0.208,100.0,18.52,22.09,599.36,930,,,,,,
2615,RANDOM,0.1846,1365,0.222,100.0,18.52,44.6,546.39,2062,,,,,,
2616,BFD,1.4595,263,0.82,100.0,71.91,88.59,113.02,15756,,,,,,
2616,BNB,3.9986,260,0.816,100.0,72.74,85.77,114.15,329,131.0,16.0,85.0,491.0,9282.0,10005.0
2616,FFD,0.0484,1399,0.154,100.0,13.52,18.66,600.84,1004,,,,,,
2616,RANDOM,0.0686,1288,0.194,100.0,14.68,42.32,437.31,657,,,,,,
2617,BFD,1.2909,420,0.852,100.0,72.2,91.76,172.18,12192,,,,,,
2617,BNB,101.9721,350,0.915,100.0,86.64,91.99,165.2,13628,6265.0,1360.0,3894.0,12393.0,275761.0,299673.0
2617,FFD,0.0306,1399,0.245,100.0,21.68,28.32,607.33,719,,,,,,
2617,RANDOM,0.1034,1380,0.287,100.0,21.97,52.05,479.02,1057,,,,,,
2618,BFD,1.9207,550,0.832,100.0,68.06,91.68,213.84,11706,,,,,,
2618,BNB,38.4791,515,0.844,100.0,72.69,91.15,215.88,2397,302.0,80.0,1115.0,6543.0,99308.0,107348.0
2618,FFD,0.0357,1375,0.295,100.0,27.22,30.74,630.17,643,,,,,,
2618,RANDOM,1.319,1340,0.223,73.08,19.21,31.87,562.66,14749,,,,,,
2619,BFD,1.2432,483,0.826,100.0,70.74,88.89,200.98,9894,,,,,,
2619,BNB,2.7213,0,0.0,0.0,,0.0,-1.0,143,0.0,0.0,80.0,497.0,5533.0,6110.0
2619,FFD,0.0466,1365,0.269,100.0,25.03,30.02,632.56,1131,,,,,,
2619,RANDOM,1.7319,1320,0.19,61.54,15.49,32.46,512.26,20269,,,,,,
2620,BFD,1.7693,488,0.846,100.0,71.04,94.26,197.31,11478,,,,,,
2620,BNB,4.6848,0,0.0,0.0,,0.0,-1.0,271,0.0,0.0,195.0,894.0,10463.0,11552.0
2620,FFD,0.0307,1385,0.273,100.0,25.03,30.22,630.88,514,,,,,,
2620,RANDOM,2.1074,880,0.289,61.54,23.58,31.87,340.2,20173,,,,,,
2621,BFD,1.7023,410,0.831,100.0,68.37,92.71,160.81,16206,,,,,,
2621,BNB,106.3326,350,0.908,100.0,80.09,94.79,151.49,10874,3751.0,800.0,4139.0,16577.0,318798.0,344065.0
2621,FFD,0.0369,1385,0.216,100.0,20.24,21.99,644.41,798,,,,,,
2621,RANDOM,0.2217,1298,0.277,100.0,21.59,48.08,466.03,2103,,,,,,
2622,BFD,1.6039,398,0.836,100.0,72.62,89.0,169.02,13554,,,,,,
2622,BNB,2732.421,390,0.836,100.0,74.11,87.24,170.03,173455,23085.0,2936.0,33340.0,530340.0,7383024.0,7972725.0
2622,FFD,0.0353,1392,0.232,100.0,20.76,26.46,614.21,773,,,,,,
2622,RANDOM,0.1062,1399,0.28,100.0,20.66,48.43,451.69,1118,,,,,,
