order_id,algorithm,time_taken (s),score (max_z),packing_score,fulfillment (%),volume_util (%),area_usage_z0 (%),cog_z,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
3900,BFD,4.5067,703,0.82,100.0,68.42,92.04,281.47,31050,,,,,,
3900,BNB,154.9915,600,0.884,100.0,80.16,91.68,269.3,9173,1428.0,170.0,2498.0,26029.0,334659.0,364784.0
3900,FFD,0.1491,1395,0.376,100.0,34.48,39.6,634.3,3064,,,,,,
3900,RANDOM,4.6086,882,0.251,43.59,20.48,37.52,342.24,44488,,,,,,
3901,BFD,3.9869,500,0.876,100.0,75.18,96.14,208.83,38136,,,,,,
3901,BNB,2305.0479,480,0.87,100.0,78.31,91.89,213.28,134263,993.0,70.0,31423.0,500294.0,6407200.0,6939980.0
3901,FFD,0.0771,1399,0.292,100.0,26.87,31.99,637.86,1853,,,,,,
3901,RANDOM,1.9881,1160,0.245,74.36,20.14,38.11,453.81,20509,,,,,,
3902,BFD,3.0681,480,0.917,100.0,80.38,95.03,206.34,28974,,,,,,
3902,BNB,99.0058,463,0.914,100.0,83.33,97.22,209.18,6776,410.0,78.0,1029.0,23615.0,269992.0,295124.0
3902,FFD,0.0656,1395,0.289,100.0,27.66,29.73,665.77,1712,,,,,,
3902,RANDOM,4.2013,442,0.294,46.15,24.91,30.9,181.06,42347,,,,,,
3903,BFD,3.5923,630,0.857,100.0,72.68,92.04,258.38,27198,,,,,,
3903,BNB,13542.0645,550,0.892,100.0,83.25,91.55,255.31,744813,170444.0,49583.0,152809.0,1726263.0,28225511.0,30324610.0
3903,FFD,0.0803,1400,0.348,100.0,32.7,35.99,654.7,2073,,,,,,
3903,RANDOM,2.7317,1400,0.258,61.54,20.08,42.3,501.57,31908,,,,,,
3904,BFD,3.9748,598,0.872,100.0,82.24,87.68,280.86,22272,,,,,,
3904,BNB,22420.6022,0,0.0,0.0,,0.0,-1.0,1274764,350586.0,62924.0,311613.0,2719898.0,47632668.0,51077689.0
3904,FFD,0.1283,1380,0.38,100.0,35.64,40.02,643.9,3083,,,,,,
3904,RANDOM,2.3298,1389,0.232,69.23,19.55,31.39,564.37,25299,,,,,,
