order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r2_no_guarantee,r2_with_guarantee,r2_diff_abs,r2_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,dedupe_no_guarantee,dedupe_with_guarantee,dedupe_diff_abs,dedupe_diff_factor,symbreak_no_guarantee,symbreak_with_guarantee,symbreak_diff_abs,symbreak_diff_factor
2000,400,380,26337,2976677,2950340,0.0088,20731,2781836,2761105,0.0075,0,0,0,N/A,1629,63189,61560,0.0258,108769,0,108769,N/A,49140,3394576,3345436,0.0145
2001,280,280,6836,1029945,1023109,0.0066,5658,946947,941289,0.006,0,0,0,N/A,266,17981,17715,0.0148,23724,0,23724,N/A,10409,2152711,2142302,0.0048
2002,280,280,14218,2319816,2305598,0.0061,11592,2109105,2097513,0.0055,0,0,0,N/A,263,40426,40163,0.0065,45471,0,45471,N/A,37973,5199572,5161599,0.0073
2003,222,220,5899,30561,24662,0.193,4954,27509,22555,0.1801,0,0,0,N/A,151,734,583,0.2057,16160,0,16160,N/A,16207,104885,88678,0.1545
2004,300,300,3968,187279,183311,0.0212,2909,153895,150986,0.0189,0,0,0,N/A,141,4898,4757,0.0288,18912,0,18912,N/A,14457,989378,974921,0.0146
2005,333,310,143264,198416,55152,0.722,120795,173333,52538,0.6969,0,0,0,N/A,3349,5883,2534,0.5693,497118,0,497118,N/A,323505,762416,438911,0.4243
2006,280,263,192318,2533850,2341532,0.0759,158751,2141015,1982264,0.0741,0,0,0,N/A,4941,48865,43924,0.1011,556309,0,556309,N/A,569036,13864973,13295937,0.041
2007,280,280,84378,9518466,9434088,0.0089,73109,8808047,8734938,0.0083,0,0,0,N/A,3358,251355,247997,0.0134,156124,0,156124,N/A,124811,12072557,11947746,0.0103
2008,260,260,3090,101521,98431,0.0304,2620,89367,86747,0.0293,0,0,0,N/A,102,3312,3210,0.0308,6609,0,6609,N/A,6799,328869,322070,0.0207
2009,333,330,380080,53973495,53593415,0.007,342427,51216300,50873873,0.0067,0,0,0,N/A,7864,793700,785836,0.0099,764561,0,764561,N/A,363928,41539581,41175653,0.0088
2010,310,310,2319,67423,65104,0.0344,1648,57973,56325,0.0284,0,0,0,N/A,30,950,920,0.0316,15922,0,15922,N/A,8601,300368,291767,0.0286
2011,260,260,930,11959,11029,0.0778,798,11132,10334,0.0717,0,0,0,N/A,35,296,261,0.1182,2083,0,2083,N/A,977,10305,9328,0.0948
2012,246,222,3694,306949,303255,0.012,3094,255916,252822,0.0121,0,0,0,N/A,95,8418,8323,0.0113,12805,0,12805,N/A,10807,2695388,2684581,0.004
2013,300,300,830,4845,4015,0.1713,658,4379,3721,0.1503,0,0,0,N/A,26,79,53,0.3291,3867,0,3867,N/A,1499,10545,9046,0.1422
2014,260,255,5052,245005,239953,0.0206,3939,207717,203778,0.019,0,0,0,N/A,190,10296,10106,0.0185,24653,0,24653,N/A,14039,1065710,1051671,0.0132
2015,310,310,317911,1605212,1287301,0.198,280319,1497293,1216974,0.1872,0,0,0,N/A,5721,28807,23086,0.1986,679051,0,679051,N/A,501402,1825359,1323957,0.2747
2016,300,300,147655,2185062,2037407,0.0676,129533,1978345,1848812,0.0655,0,0,0,N/A,3540,39589,36049,0.0894,313784,0,313784,N/A,254045,4772541,4518496,0.0532
2017,266,266,584,6777,6193,0.0862,471,5871,5400,0.0802,0,0,0,N/A,23,254,231,0.0906,1452,0,1452,N/A,1172,17044,15872,0.0688
2018,260,260,15601,1464050,1448449,0.0107,12849,1247693,1234844,0.0103,0,0,0,N/A,262,48428,48166,0.0054,49616,0,49616,N/A,63136,7314227,7251091,0.0086
2019,0,260,1710,59288,57578,0.0288,868,49034,48166,0.0177,0,0,0,N/A,35,643,608,0.0544,26669,0,26669,N/A,12733,446229,433496,0.0285
2020,280,280,2897,128547,125650,0.0225,2464,121161,118697,0.0203,0,0,0,N/A,145,2907,2762,0.0499,8055,0,8055,N/A,2148,86068,83920,0.025
2021,280,268,118924,7807431,7688507,0.0152,101957,6987032,6885075,0.0146,0,0,0,N/A,2024,131128,129104,0.0154,240490,0,240490,N/A,326370,24321328,23994958,0.0134
2022,265,265,3034,119283,116249,0.0254,2371,99906,97535,0.0237,0,0,0,N/A,140,5515,5375,0.0254,10171,0,10171,N/A,6812,432641,425829,0.0157
2023,262,255,3478,15776,12298,0.2205,2910,14584,11674,0.1995,0,0,0,N/A,153,406,253,0.3768,12983,0,12983,N/A,3591,20468,16877,0.1754
2024,350,330,11559,259382,247823,0.0446,9476,245128,235652,0.0387,0,0,0,N/A,197,1781,1584,0.1106,83842,0,83842,N/A,22468,498435,475967,0.0451
2025,260,260,8129,739271,731142,0.011,6653,646042,639389,0.0103,0,0,0,N/A,282,30683,30401,0.0092,27570,0,27570,N/A,17449,2103766,2086317,0.0083
2026,260,246,6423,51894,45471,0.1238,5551,47482,41931,0.1169,0,0,0,N/A,218,1341,1123,0.1626,13147,0,13147,N/A,9068,90665,81597,0.1
2027,268,268,287,990,703,0.2899,221,745,524,0.2966,0,0,0,N/A,7,24,17,0.2917,1042,0,1042,N/A,644,6308,5664,0.1021
2028,310,310,56634,104155,47521,0.5437,47642,97579,49937,0.4882,0,0,0,N/A,879,1867,988,0.4708,210038,0,210038,N/A,129374,103892,25482,1.2453
2029,310,310,386,1380,994,0.2797,267,1033,766,0.2585,0,0,0,N/A,6,10,4,0.6,1553,0,1553,N/A,363,2011,1648,0.1805
