order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r2_no_guarantee,r2_with_guarantee,r2_diff_abs,r2_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,dedupe_no_guarantee,dedupe_with_guarantee,dedupe_diff_abs,dedupe_diff_factor,symbreak_no_guarantee,symbreak_with_guarantee,symbreak_diff_abs,symbreak_diff_factor

2401,322,322,125062,19780960,19655898,0.0063,109411,18908114,18798703,0.0058,0,0,0,N/A,2071,156172,154101,0.0133,524145,0,524145,N/A,214918,27360135,27145217,0.0079


2404,260,246,13464,480875,467411,0.028,10914,408265,397351,0.0267,0,0,0,N/A,296,7972,7676,0.0371,31014,0,31014,N/A,44921,2589404,2544483,0.0173



2408,300,285,234888,3470207,3235319,0.0677,202611,3231324,3028713,0.0627,0,0,0,N/A,4102,50140,46038,0.0818,605695,0,605695,N/A,485242,5807962,5322720,0.0835
2409,285,280,1346,10153,8807,0.1326,1035,9199,8164,0.1125,0,0,0,N/A,16,156,140,0.1026,11581,0,11581,N/A,4100,36145,32045,0.1134
2410,280,280,164799,16838449,16673650,0.0098,130226,14625568,14495342,0.0089,0,0,0,N/A,5750,549445,543695,0.0105,714423,0,714423,N/A,583174,64995079,64411905,0.009
2411,300,300,94147,3369972,3275825,0.0279,80131,3116210,3036079,0.0257,0,0,0,N/A,1789,56968,55179,0.0314,304345,0,304345,N/A,219699,6124606,5904907,0.0359

2413,333,320,1318478,203200609,201882131,0.0065,1167839,191964655,190796816,0.0061,0,0,0,N/A,19901,2832405,2812504,0.007,3361943,0,3361943,N/A,2357761,249274493,246916732,0.0095
2414,220,220,57414,141163,83749,0.4067,37628,121756,84128,0.309,0,0,0,N/A,826,1122,296,0.7362,455487,0,455487,N/A,818860,1039413,220553,0.7878




2419,400,400,477300,14697756,14220456,0.0325,407101,13754080,13346979,0.0296,0,0,0,N/A,13756,225331,211575,0.061,2007923,0,2007923,N/A,1027191,31317059,30289868,0.0328
2420,335,333,120630,18370910,18250280,0.0066,105853,17090300,16984447,0.0062,0,0,0,N/A,2669,303398,300729,0.0088,319316,0,319316,N/A,145414,28121847,27976433,0.0052

2422,300,300,188683,3349598,3160915,0.0563,166756,3128630,2961874,0.0533,0,0,0,N/A,2580,46829,44249,0.0551,477428,0,477428,N/A,389629,4882900,4493271,0.0798
2423,375,333,11771,398687,386916,0.0295,9695,373476,363781,0.026,0,0,0,N/A,376,4553,4177,0.0826,65420,0,65420,N/A,18307,768485,750178,0.0238


2426,262,262,10872,509026,498154,0.0214,8965,455922,446957,0.0197,0,0,0,N/A,247,11255,11008,0.0219,47276,0,47276,N/A,36590,1933691,1897101,0.0189
2427,280,280,32318,2225014,2192696,0.0145,27738,2037185,2009447,0.0136,0,0,0,N/A,637,39297,38660,0.0162,92616,0,92616,N/A,63721,5045020,4981299,0.0126
2428,333,330,440654,34781413,34340759,0.0127,388821,33081224,32692403,0.0118,0,0,0,N/A,9020,390507,381487,0.0231,1311015,0,1311015,N/A,550148,39186952,38636804,0.014
2429,360,360,258899,44787447,44528548,0.0058,228481,42421856,42193375,0.0054,0,0,0,N/A,5465,515837,510372,0.0106,826980,0,826980,N/A,311681,60186828,59875147,0.0052
2430,310,300,2103421,10965164,8861743,0.1918,1843347,10168799,8325452,0.1813,0,0,0,N/A,41542,165306,123764,0.2513,4424656,0,4424656,N/A,3504213,19642932,16138719,0.1784
2431,280,280,5978,532729,526751,0.0112,4894,482282,477388,0.0101,0,0,0,N/A,136,8142,8006,0.0167,23087,0,23087,N/A,15175,1620503,1605328,0.0094
2432,280,262,1152,17992,16840,0.064,958,16720,15762,0.0573,0,0,0,N/A,42,237,195,0.1772,4175,0,4175,N/A,1126,27702,26576,0.0406
2433,335,333,273254,27705334,27432080,0.0099,247285,26420143,26172858,0.0094,0,0,0,N/A,5948,344390,338442,0.0173,561761,0,561761,N/A,217346,22841423,22624077,0.0095
2434,350,335,152200,19396321,19244121,0.0078,133366,18087964,17954598,0.0074,0,0,0,N/A,3641,307527,303886,0.0118,418806,0,418806,N/A,212144,32603842,32391698,0.0065


2437,265,265,14395,1089026,1074631,0.0132,12354,987749,975395,0.0125,0,0,0,N/A,291,27950,27659,0.0104,36412,0,36412,N/A,31782,2419940,2388158,0.0131
2438,310,310,340,986,646,0.3448,275,867,592,0.3172,0,0,0,N/A,6,10,4,0.6,1562,0,1562,N/A,569,2574,2005,0.2211


2441,310,310,1449,61459,60010,0.0236,1159,57072,55913,0.0203,0,0,0,N/A,38,1314,1276,0.0289,7148,0,7148,N/A,3153,85280,82127,0.037
2442,330,330,12954,564860,551906,0.0229,10912,533315,522403,0.0205,0,0,0,N/A,342,6758,6416,0.0506,59145,0,59145,N/A,17397,740057,722660,0.0235
2443,200,200,321,497,176,0.6459,288,461,173,0.6247,0,0,0,N/A,0,0,0,N/A,575,0,575,N/A,376,775,399,0.4852
2444,255,255,7767,189722,181955,0.0409,6997,177898,170901,0.0393,0,0,0,N/A,189,4833,4644,0.0391,11204,0,11204,N/A,6044,124109,118065,0.0487

2446,262,262,20287,757569,737282,0.0268,17322,696085,678763,0.0249,0,0,0,N/A,164,3778,3614,0.0434,67946,0,67946,N/A,62917,2475798,2412881,0.0254
2447,310,310,77975,5339514,5261539,0.0146,69176,5042411,4973235,0.0137,0,0,0,N/A,1823,85034,83211,0.0214,171627,0,171627,N/A,68998,4334872,4265874,0.0159


2450,375,372,65792,9648789,9582997,0.0068,59702,9277343,9217641,0.0064,0,0,0,N/A,1447,118930,117483,0.0122,176996,0,176996,N/A,33700,5666558,5632858,0.0059

2452,266,266,3448,20206,16758,0.1706,2859,17852,14993,0.1602,0,0,0,N/A,93,450,357,0.2067,8706,0,8706,N/A,8586,59751,51165,0.1437
2453,300,290,44690,8776359,8731669,0.0051,33415,7279976,7246561,0.0046,0,0,0,N/A,630,216181,215551,0.0029,243890,0,243890,N/A,237475,58843578,58606103,0.004
2454,310,310,114939,18986576,18871637,0.0061,98468,17600878,17502410,0.0056,0,0,0,N/A,3066,282173,279107,0.0109,341703,0,341703,N/A,158189,31992479,31834290,0.0049

2456,268,266,37134,5240283,5203149,0.0071,29834,4742270,4712436,0.0063,0,0,0,N/A,1031,121394,120363,0.0085,124452,0,124452,N/A,148433,15603605,15455172,0.0095
2457,335,335,26493,3600471,3573978,0.0074,17525,2881969,2864444,0.0061,0,0,0,N/A,1112,89824,88712,0.0124,249800,0,249800,N/A,158213,33341433,33183220,0.0047
2458,240,220,9046,200836,191790,0.045,7868,185469,177601,0.0424,0,0,0,N/A,121,3481,3360,0.0348,32137,0,32137,N/A,25711,722451,696740,0.0356

2460,300,300,630,5134,4504,0.1227,536,4852,4316,0.1105,0,0,0,N/A,18,66,48,0.2727,2268,0,2268,N/A,441,3164,2723,0.1394



2464,295,280,96408,1651277,1554869,0.0584,59756,1483086,1423330,0.0403,0,0,0,N/A,2533,35427,32894,0.0715,948701,0,948701,N/A,751554,4790197,4038643,0.1569




2469,314,310,144267,53763,90504,2.6834,120537,48616,71921,2.4794,0,0,0,N/A,2843,683,2160,4.1625,522416,0,522416,N/A,302615,150106,152509,2.016





























2499,350,350,1413066,76719773,75306707,0.0184,1279667,72578561,71298894,0.0176,0,0,0,N/A,26504,1162823,1136319,0.0228,3076104,0,3076104,N/A,1628662,80447161,78818499,0.0202
