order_id,topx_limit,time_taken (min),(seconds),score,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
1600,-1,0,3,268,772,576,27,2710,2029,0,5342
1600,1,0,0,0,3,0,0,0,1,66,67
1600,2,0,1,268,56,4,1,4,42,1704,1755
1600,3,0,1,268,63,11,1,32,58,1653,1755
1600,4,0,0,268,70,17,1,63,71,1602,1754
1600,5,0,1,268,85,31,1,88,82,1551,1753
1600,6,0,1,268,95,41,1,117,94,1500,1753
1600,7,0,1,268,104,49,1,140,112,1450,1752
1600,8,0,1,268,111,55,1,169,126,1400,1751
1600,9,0,1,268,123,66,1,188,145,1350,1750
1600,10,0,1,268,135,77,1,207,164,1300,1749
1600,11,0,1,268,146,87,1,233,177,1250,1748
1600,12,0,1,268,156,97,1,252,198,1200,1748
1600,13,0,1,268,166,107,1,272,218,1150,1748
1600,14,0,1,268,176,117,1,292,238,1100,1748
1600,15,0,1,268,187,128,1,305,264,1050,1748
1600,16,0,1,268,195,135,1,322,289,1000,1747
1600,17,0,1,268,201,141,1,348,305,952,1747
1600,18,0,1,268,206,146,1,374,322,904,1747
1600,19,0,1,268,210,149,1,400,340,856,1746
1600,20,0,2,268,214,152,1,429,355,808,1745
1600,21,0,1,268,221,158,1,450,374,761,1744
1600,22,0,1,268,227,164,1,467,398,714,1744
1600,23,0,1,268,234,170,1,487,417,668,1743
1600,24,0,1,268,241,176,1,507,436,622,1742
1600,25,0,1,268,248,182,1,520,461,577,1741
1601,-1,0,19,260,10383,9017,186,22135,21238,0,52576
1601,1,0,1,0,7,0,0,0,1,192,193
1601,2,0,3,266,191,15,12,18,117,6808,6970
1601,3,0,2,263,188,39,14,60,127,4764,5004
1601,4,0,3,263,260,89,21,111,201,5111,5533
1601,5,0,3,263,457,186,36,293,380,8342,9237
1601,6,0,5,263,677,315,47,586,585,10867,12400
1601,7,0,8,263,1122,551,76,1239,1054,17828,20748
1601,8,0,9,263,1254,657,77,1603,1245,18145,21727
1601,9,0,6,263,1307,710,77,1933,1374,17633,21727
1601,10,0,8,263,1386,789,77,2208,1532,17121,21727
1601,11,0,9,263,1484,887,77,2440,1714,16609,21727
1601,12,0,8,263,1615,1018,77,2622,1913,16097,21727
1601,13,0,7,263,1745,1148,77,2755,2162,15585,21727
1601,14,0,9,263,1884,1287,77,2894,2396,15073,21727
1601,15,0,8,263,2009,1412,77,3052,2625,14561,21727
1601,16,0,8,263,2115,1518,77,3225,2858,14049,21727
1601,17,0,9,263,2211,1614,77,3405,3094,13537,21727
1601,18,0,9,263,2312,1715,77,3612,3298,13025,21727
1601,19,0,8,263,2392,1795,77,3840,3500,12515,21727
1601,20,0,9,263,2500,1903,77,4062,3680,12005,21727
1601,21,0,9,263,2594,1997,77,4297,3861,11495,21727
1601,22,0,9,263,2676,2079,77,4549,4037,10985,21727
1601,23,0,10,263,2753,2156,77,4785,4234,10475,21727
1601,24,0,8,263,2819,2222,77,5011,4451,9966,21727
1601,25,0,9,263,2892,2295,77,5264,4630,9461,21727
1602,-1,0,12,260,7940,7087,261,10475,5264,0,23087
1602,1,0,1,0,14,0,0,0,1,589,590
1602,2,0,1,260,83,11,14,9,22,2150,2206
1602,3,0,1,260,130,42,21,41,24,2373,2501
1602,4,0,2,260,153,65,21,70,37,2308,2501
1602,5,0,2,260,242,125,29,119,69,3029,3371
1602,6,0,3,260,419,238,50,238,111,4463,5100
1602,7,0,4,260,748,462,84,435,202,6860,8043
1602,8,0,5,260,1158,752,122,749,323,9580,11526
1602,9,0,6,260,1236,830,122,912,360,9302,11526
1602,10,0,5,260,1333,926,122,1056,397,9024,11525
1602,11,0,6,260,1434,1026,122,1180,450,8746,11524
1602,12,0,6,260,1531,1122,122,1310,501,8468,11523
1602,13,0,5,260,1627,1218,122,1419,574,8190,11523
1602,14,0,6,260,1718,1309,122,1528,652,7912,11523
1602,15,0,6,260,1802,1392,122,1669,705,7634,11522
1602,16,0,6,260,1892,1482,122,1808,754,7356,11522
1602,17,0,5,260,1962,1552,122,1968,800,7080,11522
1602,18,0,6,260,2042,1631,122,2129,835,6804,11521
1602,19,0,6,260,2132,1720,122,2261,889,6528,11520
1602,20,0,6,260,2230,1817,122,2399,929,6252,11519
1602,21,0,6,260,2302,1888,122,2549,982,5977,11518
1602,22,0,5,260,2382,1968,122,2703,1023,5702,11518
1602,23,0,6,260,2493,2079,122,2814,1075,5428,11518
1602,24,0,7,260,2599,2184,122,2924,1133,5154,11517
1602,25,0,6,260,2704,2288,122,3022,1203,4881,11516
1603,-1,0,5,255,1264,853,31,9385,6044,0,16313
1603,1,0,1,0,3,0,0,0,1,76,77
1603,2,0,1,0,59,0,0,4,57,2368,2429
1603,3,0,2,0,86,6,1,64,90,3122,3283
1603,4,0,2,260,115,18,2,124,133,3567,3844
1603,5,0,2,260,187,31,6,288,260,5762,6347
1603,6,0,3,260,258,58,7,485,391,7164,8105
1603,7,0,4,260,368,102,9,769,626,9156,10662
1603,8,0,5,260,469,136,12,1065,984,11256,13453
1603,9,0,5,260,539,176,12,1344,1219,11986,14737
1603,10,0,4,260,519,180,13,1456,1221,10785,13655
1603,11,0,5,260,534,195,13,1675,1306,10466,13655
1603,12,0,5,260,547,207,13,1903,1384,10147,13654
1603,13,0,4,260,572,232,13,2086,1495,9828,13654
1603,14,0,5,260,596,255,13,2260,1616,9509,13653
1603,15,0,5,260,631,290,13,2413,1747,9190,13653
1603,16,0,5,260,684,343,13,2561,1865,8871,13653
1603,17,0,4,260,726,385,13,2700,2001,8554,13653
1603,18,0,5,260,767,426,13,2818,2159,8237,13653
1603,19,0,4,260,800,459,13,2947,2314,7920,13653
1603,20,0,5,260,815,474,13,3103,2460,7603,13653
1603,21,0,5,260,829,487,13,3276,2590,7286,13652
1603,22,0,5,260,844,501,13,3464,2704,6969,13651
1603,23,0,5,260,863,519,13,3658,2808,6652,13650
1603,24,0,5,260,886,542,13,3867,2893,6335,13650
1603,25,0,5,260,918,574,13,4047,2996,6020,13650
1604,-1,0,3,255,1561,1340,43,4064,1364,0,6811
1604,1,0,1,0,3,0,0,0,1,60,61
1604,2,0,0,0,12,0,0,0,14,344,358
1604,3,0,1,0,15,0,0,14,19,376,409
1604,4,0,1,0,32,0,0,59,41,954,1054
1604,5,0,1,300,62,25,1,63,45,1088,1222
1604,6,0,1,280,53,20,2,62,59,983,1126
1604,7,0,1,280,144,62,19,165,117,2219,2582
1604,8,0,2,280,149,66,19,210,127,2159,2581
1604,9,0,1,280,161,77,19,250,135,2099,2580
1604,10,0,1,280,177,92,19,281,148,2039,2579
1604,11,0,1,280,191,105,19,299,176,1979,2578
1604,12,0,2,280,203,117,19,324,199,1919,2578
1604,13,0,1,280,214,127,19,363,209,1859,2577
1604,14,0,1,280,226,139,19,402,218,1799,2577
1604,15,0,2,280,240,153,19,431,235,1739,2577
1604,16,0,1,280,258,171,19,457,251,1679,2577
1604,17,0,2,280,280,193,19,480,264,1621,2577
1604,18,0,1,280,300,213,19,506,276,1563,2577
1604,19,0,2,280,320,233,19,538,282,1505,2577
1604,20,0,1,280,330,243,19,579,289,1447,2577
1604,21,0,2,280,338,251,19,614,302,1391,2577
1604,22,0,2,280,347,260,19,649,314,1335,2577
1604,23,0,1,280,354,266,19,687,324,1280,2576
1604,24,0,2,280,368,280,19,717,335,1225,2576
1604,25,0,1,280,383,294,19,741,350,1171,2575
1605,-1,0,3,220,1866,1562,40,5657,2356,0,9615
1605,1,0,1,0,3,0,0,0,1,60,61
1605,2,0,1,0,12,0,0,0,14,344,358
1605,3,0,0,0,13,1,0,11,15,331,358
1605,4,0,1,0,15,3,0,19,18,318,358
1605,5,0,1,0,17,5,0,24,24,305,358
1605,6,0,1,255,44,20,0,52,48,904,1024
1605,7,0,0,255,48,24,0,62,57,881,1024
1605,8,0,1,255,49,26,0,76,57,795,954
1605,9,0,1,255,56,33,0,87,61,773,954
1605,10,0,1,255,59,36,0,97,70,751,954
1605,11,0,1,255,63,40,0,104,81,729,954
1605,12,0,1,255,66,43,0,114,90,707,954
1605,13,0,0,255,70,47,0,130,92,685,954
1605,14,0,1,255,72,49,0,147,95,663,954
1605,15,0,1,255,73,50,0,161,102,641,954
1605,16,0,1,255,78,54,0,172,108,619,953
1605,17,0,1,255,83,59,0,181,114,599,953
1605,18,0,1,255,87,62,0,187,124,579,952
1605,19,0,0,255,93,68,0,197,128,559,952
1605,20,0,1,255,95,69,0,210,133,539,951
1605,21,0,1,255,99,73,0,220,137,521,951
1605,22,0,1,255,101,75,0,231,142,503,951
1605,23,0,1,255,105,79,0,240,146,486,951
1605,24,0,1,255,110,84,0,249,149,469,951
1605,25,0,1,255,115,89,0,257,152,453,951
1606,-1,0,1,200,402,318,4,1035,1350,0,2707
1606,1,0,1,0,3,0,0,0,1,74,75
1606,2,0,0,0,39,1,1,4,33,1292,1331
1606,3,0,1,0,56,4,2,35,62,1759,1862
1606,4,0,2,0,76,10,4,76,100,2163,2353
1606,5,0,0,200,66,29,1,37,72,1282,1421
1606,6,0,1,200,80,42,1,47,83,1247,1420
1606,7,0,1,200,88,50,1,62,94,1213,1420
1606,8,0,1,200,96,57,1,77,105,1179,1419
1606,9,0,1,200,107,68,1,86,119,1145,1419
1606,10,0,1,200,113,74,1,96,137,1111,1419
1606,11,0,1,200,121,82,1,105,154,1077,1419
1606,12,0,1,200,124,85,1,121,169,1043,1419
1606,13,0,1,200,130,91,1,134,184,1009,1419
1606,14,0,1,200,133,94,1,148,201,975,1419
1606,15,0,1,200,139,100,1,164,213,941,1419
1606,16,0,1,200,145,106,1,175,230,907,1419
1606,17,0,1,200,149,110,1,187,247,874,1419
1606,18,0,0,200,155,115,1,206,255,841,1418
1606,19,0,1,200,159,119,1,218,272,808,1418
1606,20,0,1,200,166,126,1,233,283,775,1418
1606,21,0,1,200,170,130,1,248,297,742,1418
1606,22,0,1,200,175,135,1,259,314,709,1418
1606,23,0,1,200,182,142,1,273,326,676,1418
1606,24,0,1,200,185,144,1,292,337,643,1417
1606,25,0,1,200,188,147,1,311,347,611,1417
1607,-1,0,2,266,732,610,26,1643,866,0,3145
1607,1,0,1,0,5,0,0,0,1,128,129
1607,2,0,0,266,56,6,3,3,35,1742,1789
1607,3,0,1,266,62,14,3,37,36,1565,1655
1607,4,0,1,266,71,23,3,62,43,1456,1587
1607,5,0,1,266,89,40,3,79,52,1412,1586
1607,6,0,1,266,97,51,3,96,65,1308,1523
1607,7,0,1,266,105,59,3,119,76,1266,1523
1607,8,0,1,266,115,69,3,138,89,1224,1523
1607,9,0,1,266,124,78,3,159,92,1118,1450
1607,10,0,1,266,133,87,3,180,103,1077,1450
1607,11,0,1,266,143,97,3,196,118,1036,1450
1607,12,0,1,266,150,104,3,217,131,995,1450
1607,13,0,1,266,157,111,3,243,139,954,1450
1607,14,0,1,266,165,118,3,266,149,913,1449
1607,15,0,1,266,173,126,3,281,167,872,1449
1607,16,0,1,266,184,136,3,297,181,831,1448
1607,17,0,1,266,191,143,3,314,196,792,1448
1607,18,0,1,266,199,150,3,329,212,753,1447
1607,19,0,1,266,207,158,3,349,223,714,1447
1607,20,0,0,266,213,164,3,373,232,675,1447
1607,21,0,1,266,222,173,3,389,245,637,1447
1607,22,0,1,266,228,179,3,409,257,599,1447
1607,23,0,1,266,232,182,3,429,270,562,1446
1607,24,0,1,266,241,191,3,450,277,525,1446
1607,25,0,1,266,251,201,3,461,292,489,1446
1608,-1,0,5,280,2728,2323,115,6986,2033,0,11457
1608,1,0,1,0,3,0,0,0,1,60,61
1608,2,0,1,280,57,7,9,3,20,1629,1668
1608,3,0,1,280,121,31,24,20,51,2640,2766
1608,4,0,2,280,153,53,28,49,78,2841,3049
1608,5,0,1,280,171,71,28,86,93,2771,3049
1608,6,0,2,280,182,81,28,132,106,2701,3048
1608,7,0,2,280,188,86,28,194,107,2632,3047
1608,8,0,1,280,191,88,28,258,109,2563,3046
