order_id,topx_limit,time_taken (min),(seconds),score,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
1900,-1,0,2,300,670,518,16,3137,1420,0,5091
1900,1,0,1,0,3,0,0,0,1,66,67
1900,2,0,1,0,25,0,0,2,25,763,790
1900,3,0,1,0,34,0,0,28,43,968,1039
1900,4,0,1,0,59,0,1,96,81,1643,1821
1900,5,0,3,330,173,14,4,290,312,4423,5043
1900,6,0,3,310,242,52,5,403,453,5696,6609
1900,7,0,3,310,349,91,11,684,681,7589,9056
1900,8,0,5,310,450,147,18,989,831,8498,10483
1900,9,0,5,310,494,188,18,1180,906,8321,10613
1900,10,0,6,310,530,223,18,1338,998,8035,10612
1900,11,0,5,310,573,266,18,1501,1078,7749,10612
1900,12,0,4,310,599,292,18,1670,1169,7463,10612
1900,13,0,5,310,624,317,18,1826,1274,7177,10612
1900,14,0,6,310,651,344,18,1955,1404,6891,10612
1900,15,0,5,310,672,365,18,2118,1506,6605,10612
1901,-1,0,33,260,8925,6683,116,48968,44225,0,99992
1901,1,0,1,0,5,0,0,0,1,122,123
1901,2,0,2,0,103,0,2,5,96,4134,4237
1901,3,0,4,0,311,12,13,108,442,11768,12343
1901,4,0,4,265,374,78,26,267,435,11543,12349
1901,5,0,5,265,470,138,26,449,606,12911,14130
1901,6,0,4,265,527,185,26,646,717,13010,14584
1901,7,0,6,265,612,240,29,908,866,13748,15791
1901,8,0,7,265,829,311,32,1519,1490,19889,23241
1901,9,0,8,265,904,364,32,1874,1737,20438,24445
1901,10,0,7,265,982,417,32,2255,2029,20968,25701
1901,11,0,9,265,1048,480,32,2555,2222,20581,25870
1901,12,0,8,265,1112,544,32,2825,2417,20052,25870
1901,13,0,8,265,1181,611,32,3085,2617,19523,25868
1901,14,0,8,265,1234,664,32,3317,2861,18994,25868
1901,15,0,9,265,1295,725,32,3528,3118,18465,25868
1902,-1,0,1,220,254,226,1,351,254,0,832
1902,1,0,1,0,4,0,0,0,1,104,105
1902,2,0,2,0,167,10,13,14,109,7367,7513
1902,3,0,2,220,79,11,4,49,61,2722,2847
1902,4,0,1,220,90,21,4,84,78,2659,2846
1902,5,0,1,220,79,28,3,89,67,2030,2217
1902,6,0,2,220,101,49,3,105,76,1983,2216
1902,7,0,1,220,123,70,3,117,88,1937,2215
1902,8,0,1,220,134,80,3,134,106,1891,2214
1902,9,0,1,220,148,93,3,154,118,1845,2213
1902,10,0,2,220,160,105,3,176,130,1799,2213
1902,11,0,1,220,170,115,3,198,144,1753,2213
1902,12,0,1,220,180,125,3,219,159,1707,2213
1902,13,0,2,220,190,135,3,238,176,1661,2213
1902,14,0,1,220,202,147,3,262,186,1615,2213
1902,15,0,1,220,211,156,3,282,203,1569,2213
1903,-1,0,9,300,4302,3683,209,10764,2749,0,17405
1903,1,0,1,0,3,0,0,0,1,66,67
1903,2,0,3,330,227,33,20,23,98,9383,9557
1903,3,0,4,330,397,118,45,112,190,11051,11516
1903,4,0,5,310,662,288,77,274,248,11794,12681
1903,5,0,6,300,808,386,92,496,341,12625,13940
1903,6,0,9,300,1236,617,150,1052,520,17711,20050
1903,7,0,9,300,1381,707,160,1605,597,18832,21901
1903,8,0,9,300,1419,745,160,2042,633,18321,21901
1903,9,0,9,300,1566,894,160,2317,713,17741,21825
1903,10,0,10,300,1745,1073,160,2489,872,17231,21825
1903,11,0,9,300,1954,1282,160,2632,1030,16721,21825
1903,12,0,9,300,2148,1476,160,2794,1184,16211,21825
1903,13,0,10,300,2312,1640,160,2986,1338,15701,21825
1903,14,0,9,300,2468,1796,160,3218,1460,15191,21825
1903,15,0,10,300,2578,1906,160,3504,1574,14681,21825
1904,-1,0,4,260,1123,887,39,5176,2963,0,9065
1904,1,0,1,0,7,0,0,0,1,180,181
1904,2,0,1,0,66,3,0,7,55,2566,2631
1904,3,0,2,0,86,7,0,45,109,3252,3413
1904,4,0,2,260,200,59,9,92,232,5439,5831
1904,5,0,3,260,308,123,19,173,344,6799,7458
1904,6,0,3,260,379,167,28,299,420,7528,8442
1904,7,0,3,260,416,194,30,429,491,7737,8881
1904,8,0,3,260,460,237,30,516,550,7547,8880
1904,9,0,3,260,494,271,30,618,604,7357,8880
1904,10,0,3,260,544,321,30,720,642,7167,8880
1904,11,0,4,260,593,370,30,816,687,6977,8880
1904,12,0,3,260,628,404,30,920,738,6787,8879
1904,13,0,3,260,658,433,30,1030,788,6597,8878
1904,14,0,3,260,679,453,30,1135,852,6407,8877
1904,15,0,3,260,712,485,30,1227,917,6217,8876
1905,-1,0,43,260,12865,9941,201,67087,52007,0,129236
1905,1,0,1,0,5,0,0,0,1,138,139
1905,2,0,3,280,189,1,4,23,156,7702,7886
1905,3,0,5,263,338,26,17,142,399,12525,13109
1905,4,0,5,263,427,87,17,279,586,13329,14298
1905,5,0,9,263,906,227,33,828,1486,25468,28042
1905,6,0,12,263,1234,372,44,1544,2112,31647,35719
1905,7,0,15,263,1573,525,55,2461,2895,38304,44240
1905,8,0,14,263,1765,672,59,3169,3312,38843,46055
1905,9,0,15,263,1905,812,59,3680,3691,37813,46055
1905,10,0,15,263,2027,925,59,4247,4122,37079,46432
1905,11,0,16,263,2204,1102,59,4719,4512,36040,46432
1905,12,0,14,263,2367,1255,59,5182,5033,35300,46829
1905,13,0,16,263,2546,1434,59,5536,5548,34252,46829
1905,14,0,16,263,2686,1573,59,5915,6077,33204,46828
1905,15,0,16,263,2851,1738,59,6269,6606,32156,46828
1906,-1,0,7,280,3348,2931,98,7329,2221,0,12579
1906,1,0,1,0,3,0,0,0,1,66,67
1906,2,0,1,0,21,2,2,0,15,452,471
1906,3,0,0,0,24,5,2,13,17,434,471
1906,4,0,1,0,34,12,3,26,20,470,531
1906,5,0,1,0,46,21,4,35,29,506,595
1906,6,0,1,0,49,24,4,47,36,484,595
1906,7,0,1,0,52,27,4,63,38,463,595
1906,8,0,1,0,53,28,4,80,41,442,595
1906,9,0,1,0,55,30,4,94,46,421,595
1906,10,0,1,0,60,35,4,100,56,400,595
1906,11,0,1,0,67,42,4,105,65,379,595
1906,12,0,1,0,68,43,4,119,71,358,595
1906,13,0,0,0,73,48,4,129,77,337,595
1906,14,0,1,0,80,55,4,138,82,316,595
1906,15,0,1,0,84,59,4,151,86,295,595
1907,-1,0,36,300,15416,12799,346,51288,35703,0,100136
1907,1,0,0,0,7,0,0,0,1,192,193
1907,2,0,3,330,202,2,8,27,155,7783,7975
1907,3,0,11,330,1103,235,107,246,931,30569,32088
1907,4,0,45,310,4865,1297,398,1957,5842,133645,143139
1907,5,1,21,310,9279,3087,734,6724,11267,227820,249632
1907,6,1,40,300,12826,4916,1043,13713,14621,279770,314063
1907,7,1,59,300,15645,6471,1210,21867,18186,315774,363508
1907,8,2,5,300,17132,7552,1314,28125,20797,319407,377195
1907,9,2,5,300,18369,8788,1314,31998,23943,311151,377194
1907,10,2,6,300,19858,10276,1314,34979,27729,302895,377193
1907,11,2,7,300,21656,12073,1314,37429,31737,294639,377192
1907,12,2,7,300,23602,14017,1314,39819,35657,286383,377190
1907,13,2,7,300,25561,15976,1314,42362,39411,278127,377190
1907,14,2,10,300,27287,17702,1314,45263,43040,269871,377190
1907,15,2,8,300,28912,19325,1314,48476,46458,261615,377188
1908,-1,0,13,260,9460,8521,255,12096,7448,0,28320
1908,1,0,0,0,3,0,0,0,1,76,77
1908,2,0,3,260,210,23,21,30,92,8352,8518
1908,3,0,2,260,161,43,25,71,47,3594,3780
1908,4,0,2,260,193,75,25,120,59,3501,3780
1908,5,0,2,260,338,161,41,220,122,4957,5501
1908,6,0,4,260,627,342,70,420,243,7565,8640
1908,7,0,6,260,960,574,99,646,402,9766,11487
1908,8,0,6,260,1285,813,122,967,546,11773,14221
1908,9,0,7,260,1375,903,122,1171,601,11424,14221
1908,10,0,6,260,1462,990,122,1354,680,11075,14221
1908,11,0,7,260,1543,1071,122,1539,763,10726,14221
1908,12,0,7,260,1659,1186,122,1680,855,10377,14220
1908,13,0,6,260,1772,1299,122,1814,957,10028,14220
1908,14,0,7,260,1871,1398,122,1943,1078,9679,14220
1908,15,0,6,260,1992,1519,122,2055,1194,9330,14220
1909,-1,0,5,220,2046,1675,72,6603,4126,0,12476
1909,1,0,1,0,2,0,0,0,1,39,40
1909,2,0,2,0,100,0,0,23,79,4489,4591
1909,3,0,3,0,248,8,0,230,245,11718,12201
1909,4,0,2,260,137,16,7,149,170,4280,4622
1909,5,0,2,260,194,66,7,191,220,4548,5032
1909,6,0,2,260,235,100,7,235,298,4803,5443
1909,7,0,3,260,265,120,7,317,383,5251,6078
1909,8,0,2,260,242,131,7,313,275,3391,4117
1909,9,0,2,260,262,151,7,350,321,3288,4117
1909,10,0,2,260,286,177,7,393,337,3058,3972
1909,11,0,3,260,297,188,7,447,373,2957,3972
1909,12,0,1,260,308,199,7,520,390,2856,3972
1909,13,0,2,260,316,207,7,582,421,2755,3972
1909,14,0,2,260,340,231,7,623,457,2654,3972
1909,15,0,2,260,356,247,7,664,501,2553,3972
1910,-1,0,52,263,15172,11470,155,99457,66177,0,177259
1910,1,0,1,0,5,0,1,0,0,85,86
1910,2,0,2,0,115,0,1,12,103,4900,5016
1910,3,0,11,330,828,34,19,251,1246,33983,35533
1910,4,0,48,330,4172,301,97,2520,8400,167687,179005
1910,5,1,38,310,9149,1227,292,8744,20237,335648,366148
1910,6,2,37,300,15062,2620,454,20913,35923,517632,577542
1910,7,3,7,300,18843,3971,568,34605,46637,605051,690832
1910,8,3,20,300,20747,4982,588,47165,53446,627916,734097
1910,9,3,20,300,22031,5967,595,58452,58681,624301,747996
1910,10,3,24,300,22928,6762,599,68866,63802,612771,752800
1910,11,3,26,300,23788,7529,602,78344,70002,600567,757044
1910,12,3,29,300,24716,8453,602,86504,76610,585085,757254
1910,13,3,28,300,25808,9541,602,93868,83832,569517,757360
1910,14,3,30,300,27010,10743,602,100723,91429,553863,757360
1910,15,3,32,300,28363,12096,602,107076,99377,538209,757360
1911,-1,0,1,200,212,184,0,275,281,0,740
1911,1,0,1,0,5,0,0,0,1,138,139
1911,2,0,3,0,192,0,0,26,168,10292,10486
1911,3,0,4,200,255,10,0,137,343,14880,15370
1911,4,0,4,200,337,26,2,351,544,18900,19823
