order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,filt1_no_guarantee,filt1_with_guarantee,filt1_diff_abs,filt1_diff_factor,filt2_no_guarantee,filt2_with_guarantee,filt2_diff_abs,filt2_diff_factor,filt5_no_guarantee,filt5_with_guarantee,filt5_diff_abs,filt5_diff_factor
1200,220,220,537,550,13,0.9764,453,500,47,0.906,14,7,7,2.0,506,0,506,,1659,856,803,1.9381,1659,856,0,
1201,266,266,640,9656,9016,0.0663,511,8372,7861,0.061,28,371,343,0.0755,497,0,497,,2136,23256,21120,0.0918,2136,23256,0,
1202,220,220,248,329,81,0.7538,221,299,78,0.7391,3,4,1,0.75,143,0,143,,208,180,28,1.1556,208,180,0,
1203,266,263,1386,29043,27657,0.0477,1108,24884,23776,0.0445,58,1136,1078,0.0511,1023,0,1023,,4704,80232,75528,0.0586,4704,80232,0,
1204,213,213,597,4931,4334,0.1211,484,4285,3801,0.113,20,142,122,0.1408,369,0,369,,1763,12033,10270,0.1465,1763,12033,0,
1205,220,220,118,269,151,0.4387,95,232,137,0.4095,2,6,4,0.3333,151,0,151,,172,172,0,1.0,172,172,0,
1206,246,220,1431,4043,2612,0.3539,1159,3575,2416,0.3242,41,48,7,0.8542,1925,0,1925,,1595,1550,45,1.029,1595,1550,0,
1207,210,200,1138,1814,676,0.6273,931,1559,628,0.5972,49,39,10,1.2564,1261,0,1261,,3325,2613,712,1.2725,3325,2613,0,
1208,210,210,2326,64669,62343,0.036,1946,60000,58054,0.0324,90,1777,1687,0.0506,2265,0,2265,,3977,62846,58869,0.0633,3977,62846,0,
1209,220,220,184,317,133,0.5804,141,248,107,0.5685,1,1,0,1.0,133,0,133,,130,130,0,1.0,130,130,0,
1210,200,200,176,273,97,0.6447,122,190,68,0.6421,1,1,0,1.0,95,0,95,,427,489,62,0.8732,427,489,0,
1211,200,200,161,283,122,0.5689,140,257,117,0.5447,0,0,0,,122,0,122,,158,158,0,1.0,158,158,0,
1212,220,220,1359,11453,10094,0.1187,1176,10652,9476,0.1104,44,242,198,0.1818,1664,0,1664,,2865,13913,11048,0.2059,2865,13913,0,
