order_id,score_no_guarantee,score_with_guarantee,nodes_no_guarantee,nodes_with_guarantee,nodes_diff_abs,nodes_diff_factor,r1_no_guarantee,r1_with_guarantee,r1_diff_abs,r1_diff_factor,r4_no_guarantee,r4_with_guarantee,r4_diff_abs,r4_diff_factor,filt1_no_guarantee,filt1_with_guarantee,filt1_diff_abs,filt1_diff_factor,filt2_no_guarantee,filt2_with_guarantee,filt2_diff_abs,filt2_diff_factor,filt5_no_guarantee,filt5_with_guarantee,filt5_diff_abs,filt5_diff_factor
2600,293,293,441627,106931912,106490285,0.0041,363598,87862918,87499320,0.0041,9925,2374037,2364112,0.0042,206114,0,206114,,2718831,688717680,685998849,0.0039,2718831,688717680,0,
2603,293,280,1877702,127566605,125688903,0.0147,1602105,113115878,111513773,0.0142,37286,2695077,2657791,0.0138,824277,0,824277,,8860889,457244862,448383973,0.0194,8860889,457244862,0,
2604,310,300,2121746,80276743,78154997,0.0264,1505392,66822542,65317150,0.0225,20962,750140,729178,0.0279,1273076,0,1273076,,22453071,515266565,492813494,0.0436,22453071,515266565,0,
2605,250,240,21166,14104255,14083089,0.0015,14750,9900354,9885604,0.0015,444,75916,75472,0.0058,17908,0,17908,,403815,312600487,312196672,0.0013,403815,312600487,0,
2606,335,335,136128,19519385,19383257,0.007,111777,17138002,17026225,0.0065,2855,410818,407963,0.0069,136068,0,136068,,881317,90323010,89441693,0.0098,881317,90323010,0,
2607,455,443,27035,191050,164015,0.1415,18057,139915,121858,0.1291,447,2046,1599,0.2185,27029,0,27029,,294803,1689280,1394477,0.1745,294803,1689280,0,
2608,360,335,62729,7884701,7821972,0.008,55838,7502850,7447012,0.0074,1171,82437,81266,0.0142,83037,0,83037,,157628,10014704,9857076,0.0157,157628,10014704,0,
2610,265,265,49551,1523493,1473942,0.0325,41474,1381333,1339859,0.03,558,42101,41543,0.0133,30857,0,30857,,378028,3460441,3082413,0.1092,378028,3460441,0,
2611,300,300,890224,13596954,12706730,0.0655,638762,11056912,10418150,0.0578,4210,83244,79034,0.0506,423860,0,423860,,12919607,131204800,118285193,0.0985,12919607,131204800,0,
2612,400,397,410865,11136304,10725439,0.0369,357328,10354269,9996941,0.0345,8388,178072,169684,0.0471,380201,0,380201,,1407163,19447541,18040378,0.0724,1407163,19447541,0,
2614,380,375,133989,35041999,34908010,0.0038,115293,32842380,32727087,0.0035,3713,577741,574028,0.0064,194442,0,194442,,489974,52924268,52434294,0.0093,489974,52924268,0,
2615,293,293,584075,53573308,52989233,0.0109,474728,44705089,44230361,0.0106,9766,864921,855155,0.0113,201848,0,201848,,3642820,311136128,307493308,0.0117,3642820,311136128,0,
2616,260,260,1459,11204,9745,0.1302,1235,10334,9099,0.1195,42,233,191,0.1803,1766,0,1766,,4857,14682,9825,0.3308,4857,14682,0,
2617,350,335,389487,80142940,79753453,0.0049,336410,73390975,73054565,0.0046,7551,1297900,1290349,0.0058,338740,0,338740,,1476288,174629693,173153405,0.0085,1476288,174629693,0,
2623,333,317,502741,102313946,101811205,0.0049,457760,96958574,96500814,0.0047,8871,1511077,1502206,0.0059,499781,0,499781,,780848,81927653,81146805,0.0095,780848,81927653,0,
2624,400,390,68931,9808932,9740001,0.007,56804,9011778,8954974,0.0063,1795,106907,105112,0.0168,108262,0,108262,,341964,24302521,23960557,0.0141,341964,24302521,0,
2625,300,300,42354,306730,264376,0.1381,36623,283693,247070,0.1291,558,2012,1454,0.2773,59498,0,59498,,260561,1298430,1037869,0.2007,260561,1298430,0,
2626,396,372,172690,49353621,49180931,0.0035,147488,45860506,45713018,0.0032,4574,706938,702364,0.0065,223634,0,223634,,636685,98094382,97457697,0.0065,636685,98094382,0,
2628,375,362,372758,146381654,146008896,0.0025,329031,134277513,133948482,0.0025,8240,2260596,2252356,0.0036,444099,0,444099,,1201666,448718357,447516691,0.0027,1201666,448718357,0,
2629,260,260,275862,443829,167967,0.6216,222547,376435,153888,0.5912,7888,8903,1015,0.886,272072,0,272072,,1931225,2632196,700971,0.7337,1931225,2632196,0,
2630,300,300,13314,833189,819875,0.016,11022,662816,651794,0.0166,249,27069,26820,0.0092,14531,0,14531,,78291,6440629,6362338,0.0122,78291,6440629,0,
2631,300,300,77045,3312782,3235737,0.0233,68682,3060668,2991986,0.0224,1144,47448,46304,0.0241,56485,0,56485,,249665,6795873,6546208,0.0367,249665,6795873,0,
2632,300,300,112160,1251988,1139828,0.0896,87059,1070660,983601,0.0813,1467,13374,11907,0.1097,94794,0,94794,,936682,6791525,5854843,0.1379,936682,6791525,0,
2633,265,265,4296,90969,86673,0.0472,3434,71416,67982,0.0481,97,4493,4396,0.0216,3347,0,3347,,27653,511183,483530,0.0541,27653,511183,0,
2634,300,280,4813,192289,187476,0.025,3860,169835,165975,0.0227,59,2152,2093,0.0274,5433,0,5433,,33692,891333,857641,0.0378,33692,891333,0,
2635,268,262,112262,18350002,18237740,0.0061,90281,16363941,16273660,0.0055,2643,304121,301478,0.0087,59818,0,59818,,740730,64929533,64188803,0.0114,740730,64929533,0,
2638,280,280,40879,5264771,5223892,0.0078,35041,4837563,4802522,0.0072,765,76811,76046,0.01,37946,0,37946,,185898,14505856,14319958,0.0128,185898,14505856,0,
2639,372,362,107560,15283141,15175581,0.007,92895,14468788,14375893,0.0064,2900,243136,240236,0.0119,107004,0,107004,,444277,13544396,13100119,0.0328,444277,13544396,0,
2643,400,362,8616,280643,272027,0.0307,5769,221625,215856,0.026,188,5176,4988,0.0363,6381,0,6381,,89205,1833703,1744498,0.0486,89205,1833703,0,
2644,320,310,459733,17405198,16945465,0.0264,383345,15537440,15154095,0.0247,7327,254669,247342,0.0288,372227,0,372227,,2169145,54135636,51966491,0.0401,2169145,54135636,0,
2645,335,320,444846,15995369,15550523,0.0278,405153,15336096,14930943,0.0264,8799,216024,207225,0.0407,434650,0,434650,,844296,7978519,7134223,0.1058,844296,7978519,0,
2647,310,300,1232304,56848005,55615701,0.0217,1093192,51711315,50618123,0.0211,18692,928751,910059,0.0201,788708,0,788708,,3918400,155424449,151506049,0.0252,3918400,155424449,0,
2648,335,335,115909,29501953,29386044,0.0039,90235,25820195,25729960,0.0035,2496,549824,547328,0.0045,99104,0,99104,,1053138,149990205,148937067,0.007,1053138,149990205,0,
2649,300,300,30984,1368711,1337727,0.0226,27078,1255718,1228640,0.0216,550,22254,21704,0.0247,21741,0,21741,,90806,2638259,2547453,0.0344,90806,2638259,0,
2650,300,300,14867,397447,382580,0.0374,11721,345649,333928,0.0339,240,4336,4096,0.0554,17571,0,17571,,115381,2007550,1892169,0.0575,115381,2007550,0,
2652,300,300,24499,654650,630151,0.0374,19251,550404,531153,0.035,501,11795,11294,0.0425,20058,0,20058,,175368,3037045,2861677,0.0577,175368,3037045,0,
2653,280,268,1510824,91845582,90334758,0.0164,1322402,83843887,82521485,0.0158,43510,2089867,2046357,0.0208,747616,0,747616,,4733932,200793639,196059707,0.0236,4733932,200793639,0,
2654,390,380,341471,116329832,115988361,0.0029,304337,109760865,109456528,0.0028,9346,1792765,1783419,0.0052,468512,0,468512,,829488,182150319,181320831,0.0046,829488,182150319,0,
2656,400,375,42874,4316992,4274118,0.0099,37415,4106820,4069405,0.0091,1804,78136,76332,0.0231,68651,0,68651,,84313,3147183,3062870,0.0268,84313,3147183,0,
2660,300,300,4513,89400,84887,0.0505,3746,81154,77408,0.0462,169,1960,1791,0.0862,3939,0,3939,,15516,165474,149958,0.0938,15516,165474,0,
2661,440,440,2339027,129096648,126757621,0.0181,2034236,122355544,120321308,0.0166,81016,2185847,2104831,0.0371,4404399,0,4404399,,5686076,129827657,124141581,0.0438,5686076,129827657,0,
2664,280,280,75064,4855177,4780113,0.0155,53090,3993438,3940348,0.0133,2765,118979,116214,0.0232,59106,0,59106,,872879,34532810,33659931,0.0253,872879,34532810,0,
2666,300,300,4279,80422,76143,0.0532,3562,71724,68162,0.0497,95,1805,1710,0.0526,5775,0,5775,,22838,325036,302198,0.0703,22838,325036,0,
2667,310,300,62488,203076,140588,0.3077,54824,183704,128880,0.2984,1113,7038,5925,0.1581,63453,0,63453,,184439,422088,237649,0.437,184439,422088,0,
2670,255,246,4217,111604,107387,0.0378,3748,104504,100756,0.0359,57,1439,1382,0.0396,3508,0,3508,,15715,228802,213087,0.0687,15715,228802,0,
2671,280,280,15593,261126,245533,0.0597,12256,208732,196476,0.0587,204,3807,3603,0.0536,9390,0,9390,,107830,1652622,1544792,0.0652,107830,1652622,0,
2673,300,300,9041,313872,304831,0.0288,6574,246524,239950,0.0267,156,5131,4975,0.0304,8051,0,8051,,76965,2113461,2036496,0.0364,76965,2113461,0,
2674,310,300,108994,1176488,1067494,0.0926,78873,964360,885487,0.0818,1232,25671,24439,0.048,58753,0,58753,,992043,6542365,5550322,0.1516,992043,6542365,0,
2676,310,300,526544,1908588,1382044,0.2759,466968,1785712,1318744,0.2615,11024,29878,18854,0.369,390778,0,390778,,1306682,2507843,1201161,0.521,1306682,2507843,0,
