order_id,order_label,implementation,cores,seconds,speedup_vs_single_core,metric,metric_value,max_z,box_count,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,matches_single_core,boxes_match,heightmap_match,max_z_match
10,T10,single_core,1,0.42726874900000666,1.0,maxz,220,220,10,35,20,2,15,0,303,True,True,True,True
10,T10,multi_core,2,0.5062228239999627,0.8440329608687067,maxz,220,220,10,67,38,2,27,1,622,True,True,True,True
10,T10,multi_core,4,0.4566935830000034,0.9355698545035249,maxz,220,220,10,67,38,2,27,1,622,True,True,True,True
10,T10,multi_core,6,0.4198212879999801,1.0177395982836082,maxz,220,220,10,67,38,2,27,1,622,True,True,True,True
10,T10,multi_core,8,0.4113796330000241,1.0386239733943796,maxz,220,220,10,67,38,2,27,1,622,True,True,True,True
11,T11,single_core,1,0.33509313299998666,1.0,maxz,220,220,11,39,22,2,14,2,367,True,True,True,True
11,T11,multi_core,2,0.33211253499996474,1.008974662760086,maxz,220,220,11,74,42,2,26,5,743,True,True,True,True
11,T11,multi_core,4,0.47669885699997394,0.7029451153057935,maxz,220,220,11,74,42,2,26,5,743,True,True,True,True
11,T11,multi_core,6,0.4796630779999873,0.6986010563856565,maxz,220,220,11,74,42,2,26,5,743,True,True,True,True
11,T11,multi_core,8,0.3932428699999946,0.8521276762118822,maxz,220,220,11,74,42,2,26,5,743,True,True,True,True
12,T12,single_core,1,0.48776673899999423,1.0,maxz,220,220,12,40,22,3,17,3,439,True,True,True,True
12,T12,multi_core,2,0.40035075200000847,1.2183485020654685,maxz,220,220,12,74,42,3,34,7,847,True,True,True,True
12,T12,multi_core,4,0.5831119069999886,0.8364890737859753,maxz,220,220,12,74,42,3,34,7,847,True,True,True,True
12,T12,multi_core,6,0.598232816999996,0.8153460076731256,maxz,220,220,12,74,42,3,34,7,847,True,True,True,True
12,T12,multi_core,8,0.4636837470000046,1.0519384001613268,maxz,220,220,12,74,42,3,34,7,847,True,True,True,True
13,T13,single_core,1,0.5853956629999857,1.0,maxz,220,220,13,44,26,2,17,4,470,True,True,True,True
13,T13,multi_core,2,0.5979303479999771,0.9790365465778433,maxz,220,220,13,101,60,5,42,7,1049,True,True,True,True
13,T13,multi_core,4,0.7282843080000134,0.8038010109095676,maxz,220,220,13,101,60,5,42,7,1049,True,True,True,True
13,T13,multi_core,6,0.6492361219999907,0.9016683501784487,maxz,220,220,13,101,60,5,42,7,1049,True,True,True,True
13,T13,multi_core,8,0.6764183550000098,0.8654343257731042,maxz,220,220,13,101,60,5,42,7,1049,True,True,True,True
14,T14,single_core,1,0.7138295820000167,1.0,maxz,220,220,14,111,62,10,37,22,1444,True,True,True,True
14,T14,multi_core,2,0.5397310779999884,1.3225652757391004,maxz,220,220,14,172,94,11,53,35,2221,True,True,True,True
14,T14,multi_core,4,0.72111996000001,0.9898902007926764,maxz,220,220,14,172,94,11,53,35,2221,True,True,True,True
14,T14,multi_core,6,0.6853918069999736,1.0414912677823185,maxz,220,220,14,172,94,11,53,35,2221,True,True,True,True
14,T14,multi_core,8,0.5121093619999897,1.393900668427989,maxz,220,220,14,172,94,11,53,35,2221,True,True,True,True
15,T15,single_core,1,3.183259885000041,1.0,maxz,260,260,15,576,286,90,211,203,7336,True,True,True,True
15,T15,multi_core,2,1.9129979580000054,1.6640163528078538,maxz,260,260,15,613,308,88,225,212,7900,True,True,True,True
15,T15,multi_core,4,1.8518748010000081,1.718939035879255,maxz,260,260,15,613,308,88,225,212,7900,True,True,True,True
15,T15,multi_core,6,1.9987267590000215,1.592643852225529,maxz,260,260,15,613,308,88,225,212,7900,True,True,True,True
15,T15,multi_core,8,1.752657768000006,1.8162472692158975,maxz,260,260,15,613,308,88,225,212,7900,True,True,True,True
16,T16,single_core,1,2.4377717980000284,1.0,maxz,260,260,16,577,286,90,211,212,7426,True,True,True,True
16,T16,multi_core,2,1.4313513320000197,1.7031260903594805,maxz,260,260,16,619,311,88,229,227,8094,True,True,True,True
16,T16,multi_core,4,1.386285633,1.758491713374071,maxz,260,260,16,619,311,88,229,227,8094,True,True,True,True
16,T16,multi_core,6,1.6505210350000539,1.4769710572031267,maxz,260,260,16,619,311,88,229,227,8094,True,True,True,True
16,T16,multi_core,8,1.675312000999952,1.4551151048550857,maxz,260,260,16,619,311,88,229,227,8094,True,True,True,True
17,T17,single_core,1,3.224631175000013,1.0,maxz,263,263,17,577,282,88,227,216,7611,True,True,True,True
17,T17,multi_core,2,2.4884605579999857,1.2958337493569516,maxz,263,263,17,857,405,140,307,361,11656,True,True,True,True
17,T17,multi_core,4,2.4925565880000136,1.293704299643365,maxz,263,263,17,857,405,140,307,361,11656,True,True,True,True
17,T17,multi_core,6,2.313268358000016,1.3939719375178479,maxz,263,263,17,857,405,140,307,361,11656,True,True,True,True
17,T17,multi_core,8,3.000385697000013,1.0747388838122431,maxz,263,263,17,857,405,140,307,361,11656,True,True,True,True
18,T18,single_core,1,21.450128793000033,1.0,maxz,268,268,18,4679,1737,824,1374,4522,88281,True,True,True,True
18,T18,multi_core,2,11.46264224700002,1.8713075337070666,maxz,268,268,18,4691,1742,823,1385,4524,88567,True,True,True,True
18,T18,multi_core,4,11.461020050000002,1.8715723992647608,maxz,268,268,18,4691,1742,823,1385,4524,88567,True,True,True,True
18,T18,multi_core,6,11.249627488999977,1.9067412511191353,maxz,268,268,18,4691,1742,823,1385,4524,88567,True,True,True,True
18,T18,multi_core,8,13.274361675999955,1.6159066112973148,maxz,268,268,18,4691,1742,823,1385,4524,88567,True,True,True,True
19,T19,single_core,1,26.578413213999966,1.0,maxz,268,268,19,4682,1738,824,1380,4528,88480,True,True,True,True
19,T19,multi_core,2,12.848762707000049,2.0685581810550486,maxz,268,268,19,4695,1745,823,1391,4534,88842,True,True,True,True
19,T19,multi_core,4,12.453808939000055,2.1341593840232793,maxz,268,268,19,4695,1745,823,1391,4534,88842,True,True,True,True
19,T19,multi_core,6,11.94377371400003,2.2252944379585635,maxz,268,268,19,4695,1745,823,1391,4534,88842,True,True,True,True
19,T19,multi_core,8,11.680739945000028,2.2754049263272,maxz,268,268,19,4695,1745,823,1391,4534,88842,True,True,True,True
20,T20,single_core,1,43.15784388099996,1.0,maxz,280,280,20,7811,2814,876,1884,10900,176350,True,True,True,True
20,T20,multi_core,2,17.317755358,2.4921153457144225,maxz,280,280,20,7987,2905,876,1960,11028,179727,True,True,True,True
20,T20,multi_core,4,17.813705529999993,2.422732530765034,maxz,280,280,20,7987,2905,876,1960,11028,179727,True,True,True,True
20,T20,multi_core,6,17.668440202999932,2.442651608469217,maxz,280,280,20,7987,2905,876,1960,11028,179727,True,True,True,True
20,T20,multi_core,8,18.024076048999973,2.394455269921838,maxz,280,280,20,7987,2905,876,1960,11028,179727,True,True,True,True
21,T21,single_core,1,38.71108618900007,1.0,maxz,280,280,21,7811,2815,876,1885,10904,176438,True,True,True,True
21,T21,multi_core,2,17.934586022000076,2.1584599801475086,maxz,280,280,21,8015,2919,876,1966,11049,180493,True,True,True,True
21,T21,multi_core,4,17.779074059000095,2.1773398356144313,maxz,280,280,21,8015,2919,876,1966,11049,180493,True,True,True,True
21,T21,multi_core,6,17.652336904000094,2.192972318595844,maxz,280,280,21,8015,2919,876,1966,11049,180493,True,True,True,True
21,T21,multi_core,8,18.104497390999995,2.1382027544296207,maxz,280,280,21,8015,2919,876,1966,11049,180493,True,True,True,True
22,T22,single_core,1,14.169078448999926,1.0,maxz,280,280,22,2777,1276,345,1075,1858,48226,True,True,True,True
22,T22,multi_core,2,23.353979486999947,0.6067093814519783,maxz,280,280,22,9303,4380,1176,3728,5484,154374,True,True,True,True
22,T22,multi_core,4,18.255986435000068,0.776133270006994,maxz,280,280,22,9303,4380,1176,3728,5484,154374,True,True,True,True
22,T22,multi_core,6,17.176003686999934,0.8249345253531897,maxz,280,280,22,9303,4380,1176,3728,5484,154374,True,True,True,True
22,T22,multi_core,8,17.59237700199992,0.8054101186774913,maxz,280,280,22,9303,4380,1176,3728,5484,154374,True,True,True,True
23,T23,single_core,1,84.35926423800004,1.0,maxz,310,310,23,20403,9826,2772,9006,9556,316183,True,True,True,True
23,T23,multi_core,2,107.46251288499991,0.7850110887345095,maxz,310,310,23,47391,23198,5926,19880,23819,744662,True,True,True,True
23,T23,multi_core,4,72.9506905390001,1.1563874668588752,maxz,310,310,23,47391,23198,5926,19880,23819,744662,True,True,True,True
23,T23,multi_core,6,72.97104468899988,1.156064910370084,maxz,310,310,23,47391,23198,5926,19880,23819,744662,True,True,True,True
23,T23,multi_core,8,72.51002392499981,1.1634152034656118,maxz,310,310,23,47391,23198,5926,19880,23819,744662,True,True,True,True
24,T24,single_core,1,187.86799578399996,1.0,maxz,322,322,24,40784,19080,4787,16201,27520,776272,True,True,True,True
24,T24,multi_core,2,133.72740869599988,1.4048578194697312,maxz,322,322,24,51806,23506,5865,20889,39295,1058414,True,True,True,True
24,T24,multi_core,4,82.59749025600013,2.274500050809385,maxz,322,322,24,51806,23506,5865,20889,39295,1058414,True,True,True,True
24,T24,multi_core,6,85.584337817,2.1951212169884067,maxz,322,322,24,51806,23506,5865,20889,39295,1058414,True,True,True,True
24,T24,multi_core,8,82.1423960510001,2.287101482495806,maxz,322,322,24,51806,23506,5865,20889,39295,1058414,True,True,True,True
25,T25,single_core,1,411.14942740800007,1.0,maxz,333,333,25,79388,36548,8069,29808,64584,1718254,True,True,True,True
25,T25,multi_core,2,319.8289496540001,1.2855291175260808,maxz,333,333,25,126089,56927,13622,45933,105418,2759462,True,True,True,True
25,T25,multi_core,4,330.65105459200004,1.243454154154534,maxz,333,333,25,126089,56927,13622,45933,105418,2759462,True,True,True,True
25,T25,multi_core,6,322.9446464729999,1.2731266237056962,maxz,333,333,25,126089,56927,13622,45933,105418,2759462,True,True,True,True
25,T25,multi_core,8,244.45580123900027,1.6818967900296475,maxz,333,333,25,126089,56927,13622,45933,105418,2759462,True,True,True,True
