order_id,topx_limit,time_taken (min),(seconds),score,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
1100,-1,0,1,220,183,140,2,202,29,0,373
1100,1,0,1,0,5,0,0,0,1,150,151
1100,2,0,0,220,19,5,2,1,2,417,427
1100,3,0,1,220,24,9,2,7,2,406,426
1100,4,0,0,220,27,12,2,15,2,395,426
1100,5,0,1,220,35,19,2,17,3,384,425
1100,6,0,0,220,43,26,2,19,4,373,424
1100,7,0,1,220,48,30,2,23,5,363,423
1100,8,0,0,220,50,31,2,30,6,353,422
1100,9,0,1,220,56,37,2,34,6,343,422
1100,10,0,0,220,61,42,2,38,7,333,422
1100,11,0,1,220,63,43,2,44,9,323,421
1100,12,0,0,220,66,45,2,50,10,313,420
1100,13,0,1,220,71,50,2,54,11,303,420
1100,14,0,0,220,75,54,2,58,13,293,420
1100,15,0,1,220,76,55,2,66,14,283,420
1101,-1,0,3,210,863,612,28,5354,3658,0,9652
1101,1,0,1,0,3,0,0,0,1,66,67
1101,2,0,1,0,64,0,4,9,49,2473,2535
1101,3,0,1,0,75,1,4,64,74,2900,3043
1101,4,0,1,0,79,5,4,114,91,2829,3043
1101,5,0,1,0,100,26,4,136,119,2758,3043
1101,6,0,1,0,122,48,4,159,145,2687,3043
1101,7,0,1,0,139,65,4,189,168,2617,3043
1101,8,0,1,0,153,79,4,233,180,2547,3043
1101,9,0,1,0,162,88,4,274,200,2477,3043
1101,10,0,1,0,174,100,4,323,209,2407,3043
1101,11,0,1,0,186,112,4,368,222,2337,3043
1101,12,0,1,0,195,121,4,411,240,2267,3043
1101,13,0,1,0,204,130,4,447,265,2197,3043
1101,14,0,1,0,220,146,4,482,284,2127,3043
1101,15,0,2,0,234,160,4,514,308,2057,3043
1102,-1,0,1,220,524,376,16,1179,759,0,2330
1102,1,0,1,0,5,0,0,0,1,132,133
1102,2,0,1,220,82,3,0,11,63,3078,3155
1102,3,0,1,220,93,7,6,64,74,2925,3076
1102,4,0,1,220,101,17,6,115,84,2773,2995
1102,5,0,2,220,172,65,10,170,123,3374,3742
1102,6,0,2,220,243,114,14,224,193,3904,4449
1102,7,0,2,220,280,140,15,313,246,4166,4880
1102,8,0,2,220,327,173,15,417,326,4643,5574
1102,9,0,2,220,358,202,15,496,349,4510,5572
1102,10,0,3,220,389,231,15,578,369,4377,5570
1102,11,0,2,220,414,256,15,656,399,4244,5570
1102,12,0,2,220,430,271,15,740,432,4111,5569
1102,13,0,2,220,442,283,15,831,462,3978,5569
1102,14,0,2,220,466,306,15,894,508,3845,5568
1102,15,0,3,220,487,326,15,961,553,3712,5567
1103,-1,0,3,260,1263,1034,60,2990,1992,0,6076
1103,1,0,1,0,5,0,0,0,1,132,133
1103,2,0,0,0,50,0,3,3,43,1650,1699
1103,3,0,1,260,53,4,2,39,49,1570,1664
1103,4,0,1,260,58,8,2,71,59,1523,1663
1103,5,0,1,260,107,37,3,123,100,2053,2316
1103,6,0,2,260,160,70,4,190,160,2607,3031
1103,7,0,1,260,179,89,4,229,186,2523,3031
1103,8,0,2,260,189,99,4,277,212,2439,3031
1103,9,0,1,260,197,107,4,344,221,2355,3031
1103,10,0,1,260,207,117,4,403,236,2271,3031
1103,11,0,2,260,221,131,4,444,265,2187,3031
1103,12,0,1,260,230,140,4,491,293,2103,3031
1103,13,0,2,260,242,152,4,537,319,2019,3031
