order_id,topx_limit,time_taken (min),(seconds),score,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
2501,-1,6,4,300,133080,114056,1873,596591,299403,0,1011923
2501,1,0,1,0,3,0,0,0,1,62,63
2501,2,0,1,0,13,0,0,0,15,301,316
2501,3,0,1,0,21,0,0,20,25,443,488
2501,4,0,1,0,33,0,0,57,46,675,778
2501,5,0,2,300,202,66,5,179,244,4098,4592
2501,6,0,4,300,353,132,1,287,602,8268,9290
2501,7,0,3,300,389,186,3,437,496,7478,8600
2501,8,0,13,300,2386,1521,37,2215,1885,29971,35629
2501,9,0,13,300,2599,1721,37,2707,2089,29410,35964
2501,10,0,12,300,2625,1818,34,2755,2146,25156,31909
2501,11,0,12,300,2826,2015,34,3017,2435,24404,31905
2501,12,0,13,300,3000,2179,34,3335,2767,23776,32091
2501,13,0,13,300,3128,2302,34,3654,3104,23053,32147
2501,14,0,12,300,3257,2427,34,3917,3472,22293,32143
2501,15,0,13,300,3389,2558,34,4164,3853,21533,32142
2502,-1,8,34,280,200604,167140,3143,578773,670243,0,1419299
2502,1,0,1,0,5,0,0,0,1,150,151
2502,2,0,3,0,92,0,2,17,73,3979,4071
2502,3,0,21,310,1547,188,73,596,1712,67703,70272
2502,4,0,15,280,1043,197,70,785,1272,44734,47058
2502,5,0,21,280,1795,494,124,1670,2415,58343,63046
2502,6,0,26,280,2881,1095,155,3233,3648,77358,85489
2502,7,1,10,280,8387,3534,497,9758,12297,184245,210331
2502,8,2,9,280,15849,7270,866,20683,25130,332565,386514
2502,9,2,9,280,17432,8743,880,23922,28879,328098,390522
2502,10,2,10,280,18865,10170,880,26712,32519,320711,390992
2502,11,2,10,280,20635,11930,880,29564,35805,313523,391702
2502,12,2,12,280,22362,13656,880,32649,38823,305767,391775
2502,13,2,13,280,24134,15423,880,35615,41956,298182,392056
2502,14,2,13,280,25876,17157,880,38583,45181,290870,392671
2502,15,2,14,280,27476,18754,880,41578,48447,283183,392842
2503,-1,0,15,260,4554,3563,118,16092,21506,0,41279
2503,1,0,1,0,4,0,0,0,1,104,105
2503,2,0,3,0,140,1,1,14,124,5607,5747
2503,3,0,4,0,237,8,2,135,312,9059,9516
2503,4,0,4,0,321,29,2,276,567,11594,12468
2503,5,0,13,0,976,92,6,1237,2182,37482,40999
2503,6,0,6,260,606,193,24,792,924,16528,18461
2503,7,0,7,260,733,284,26,1083,1144,18249,20786
2503,8,0,8,260,823,356,26,1341,1354,18620,21697
2503,9,0,7,260,892,425,26,1555,1510,18181,21697
2503,10,0,8,260,956,489,26,1787,1653,17742,21697
2503,11,0,6,260,1022,555,26,1981,1832,17303,21697
2503,12,0,7,260,1093,626,26,2173,2008,16864,21697
2503,13,0,8,260,1174,707,26,2358,2181,16425,21697
2503,14,0,8,260,1249,782,26,2560,2343,15986,21697
2503,15,0,7,260,1305,838,26,2769,2517,15547,21697
2504,-1,33,12,360,1445051,1337747,23881,2178843,862344,0,4402815
2504,1,0,1,0,5,0,0,0,1,110,111
2504,2,0,2,0,41,3,2,4,29,1323,1361
2504,3,0,3,420,105,21,6,43,80,2988,3138
2504,4,0,4,400,246,71,17,143,219,6390,6840
2504,5,0,8,380,823,273,107,570,762,18195,19907
2504,6,1,49,360,18291,10636,1696,9300,8067,266953,296652
2504,7,2,57,360,32731,20638,2673,19737,13352,419844,476244
2504,8,4,22,360,55729,37813,3957,34877,20912,614226,711785
2504,9,4,23,360,62061,44102,3969,40378,23288,601655,713392
2504,10,4,29,360,68598,50636,3969,44999,26099,587686,713389
2504,11,4,29,360,75049,57084,3969,49380,29236,573717,713386
2504,12,4,35,360,81054,63086,3969,53907,32673,559748,713383
2504,13,4,35,360,86841,68869,3969,58658,36117,545854,713467
2504,14,4,39,360,92384,74411,3969,63751,39451,531884,713466
2504,15,4,39,360,97835,79861,3969,69145,42574,517916,713465
2506,-1,0,45,300,18463,15986,342,72466,33747,0,122541
2506,1,0,1,0,3,0,0,0,1,66,67
2506,2,0,2,0,25,0,0,2,25,749,776
2506,3,0,1,0,34,0,0,28,43,944,1015
2506,4,0,1,0,63,0,0,106,87,1769,1962
2506,5,0,5,316,692,282,24,590,643,14279,15818
2506,6,0,13,310,2180,1082,81,1851,2017,40402,45433
2506,7,0,25,310,4246,2324,145,4103,4019,68353,78944
2506,8,0,33,310,5320,2935,178,6474,5764,83811,99162
2506,9,0,36,310,6112,3468,189,8620,7234,89827,109338
