order_id,topx_limit,time_taken (min),(seconds),score,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
1100,-1,0,1,220,184,141,2,175,55,0,373
1100,1,0,0,0,5,0,0,0,1,150,151
1100,2,0,1,220,19,5,2,1,2,417,427
1100,3,0,0,220,24,9,2,6,3,406,426
1100,4,0,1,220,27,12,2,13,4,395,426
1100,5,0,1,220,36,20,2,14,5,384,425
1100,6,0,0,220,44,27,2,16,6,373,424
1100,7,0,0,220,49,31,2,19,8,363,423
1100,8,0,1,220,51,32,2,25,10,353,422
1100,9,0,0,220,57,38,2,28,11,343,422
1100,10,0,1,220,62,43,2,30,14,333,422
1100,11,0,0,220,64,44,2,36,16,323,421
1100,12,0,1,220,67,46,2,40,19,313,420
1100,13,0,0,220,72,51,2,42,22,303,420
1100,14,0,1,220,76,55,2,45,25,293,420
1100,15,0,0,220,77,56,2,51,28,283,420
1101,-1,0,3,210,1001,750,28,731,8143,0,9652
1101,1,0,0,0,3,0,0,0,1,66,67
1101,2,0,1,0,66,0,4,5,55,2573,2637
1101,3,0,1,0,115,1,11,39,158,4500,4709
1101,4,0,2,0,146,8,18,92,246,5170,5534
1101,5,0,2,0,176,36,19,112,322,5101,5590
1101,6,0,2,0,215,74,19,124,399,5034,5650
1101,7,0,2,0,249,108,19,140,471,4912,5650
1101,8,0,2,0,290,149,19,161,531,4790,5650
1101,9,0,2,0,316,175,19,180,608,4668,5650
1101,10,0,2,0,345,204,19,201,680,4546,5650
1101,11,0,2,0,363,222,19,214,771,4424,5650
1101,12,0,2,0,384,243,19,245,841,4302,5650
1101,13,0,2,0,404,263,19,263,925,4180,5650
1101,14,0,2,0,433,292,19,282,999,4058,5650
1101,15,0,2,0,468,327,19,303,1065,3936,5650
1102,-1,0,2,220,545,397,16,511,1406,0,2330
1102,1,0,0,0,5,0,0,0,1,132,133
1102,2,0,2,220,82,3,0,5,69,3078,3155
1102,3,0,0,220,42,7,6,14,22,989,1038
1102,4,0,1,220,49,13,6,24,31,963,1037
1102,5,0,1,220,67,30,6,26,37,937,1036
1102,6,0,0,220,81,44,6,28,47,911,1036
1102,7,0,1,220,81,44,6,37,63,886,1036
