order_id,topx_limit,time_taken (min),(seconds),score,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
2700,-1,114,16,433,1756158,1350979,33058,1792540,13824350,0,17000927
2700,1,0,2,0,3,0,0,0,1,60,61
2700,2,0,1,0,9,0,0,0,11,200,211
2700,3,0,1,0,22,0,0,9,38,523,570
2700,4,0,2,0,41,0,0,22,105,959,1086
2700,5,0,32,460,2332,543,163,679,5104,74507,80996
2700,6,4,32,440,22158,6515,1502,8112,54438,686607,757174
2700,7,14,1,440,79180,29966,5263,28692,199581,2009490,2272992
2700,8,33,21,440,223249,102105,14323,83563,547490,4425910,5173391
2700,9,84,54,430,645016,328471,35262,247647,1638647,11391181,13641208
2700,10,95,26,430,771458,412297,34681,310577,2162501,12525638,15445694
2700,11,109,20,430,936668,527258,39993,409826,2716769,13820026,17513872
2700,12,132,0,430,1172336,691470,49708,579587,3421583,16245127,20987475
2700,13,138,1,430,1302050,796745,53247,701933,3872257,16706157,22130339
2700,14,139,43,430,1392691,877549,54782,806731,4245022,16683070,22667154
2700,15,140,19,430,1465676,946695,55425,893389,4593589,16385176,22874274
2701,-1,3,18,400,62277,50028,1732,75868,368176,0,495804
2701,1,0,1,0,3,0,0,0,1,60,61
2701,2,0,1,0,9,0,0,0,11,200,211
2701,3,0,2,0,22,0,0,9,38,523,570
2701,4,0,1,0,41,0,0,22,105,959,1086
2701,5,0,2,0,130,0,1,58,462,3259,3780
2701,6,0,25,440,2266,794,166,1045,4477,61153,67635
2701,7,1,5,440,7757,3443,576,3552,14814,157472,179857
2701,8,1,50,434,15971,8380,1012,7589,28966,262237,308184
2701,9,3,59,400,40909,23542,2108,15452,80787,577149,699038
2701,10,4,33,400,49649,29992,2387,21598,101239,636717,791933
2701,11,5,6,400,57817,36253,2644,29388,120646,674847,863778
2701,12,5,20,400,62104,39689,2733,36846,136916,681715,897899
2701,13,5,20,400,64433,41920,2750,43108,148981,664615,901374
2701,14,5,24,400,66547,44020,2750,48706,161141,645055,901672
2701,15,5,26,400,69052,46520,2750,53460,173637,625331,901698
2702,-1,127,5,360,2545327,2122211,44821,2485801,13364192,0,18017025
2702,1,0,1,0,3,0,0,0,1,60,61
2702,2,0,2,0,49,2,2,0,43,1926,1973
2702,3,0,5,430,333,36,19,43,455,13164,13717
2702,4,0,41,375,3619,966,281,755,5026,121067,128095
2702,5,5,15,375,32133,12356,2826,7686,44806,862684,930358
2702,6,17,46,375,117909,51128,8611,32884,198059,2850708,3141390
2702,7,35,36,375,264777,131801,17466,82829,460781,5655477,6348354
2702,8,57,11,375,448866,246673,27378,155944,793500,8423981,9647476
2702,9,82,6,375,681058,396975,38395,263679,1266164,11372576,13337789
2702,10,107,1,375,954077,579502,50297,407014,1881355,14421413,17339581
2702,11,109,4,350,1060471,667764,52440,488817,2193138,14752900,18155059
2702,12,59,56,350,618781,395505,27420,295038,1435859,8186377,10340199
2702,13,62,16,350,654130,427747,27802,331414,1595300,8093715,10475978
2702,14,61,39,350,686049,457903,28097,367155,1746648,7957302,10557105
2702,15,62,28,350,715962,486839,28244,401557,1894710,7794379,10605729
2703,-1,7,6,310,261527,235551,3328,320911,884922,0,1444712
2703,1,0,1,0,3,0,0,0,1,60,61
2703,2,0,2,0,56,2,0,2,52,2627,2683
2703,3,0,16,330,1303,324,97,199,1120,51138,52878
2703,4,0,35,330,3883,1428,366,906,3547,104597,110844
2703,5,6,8,322,53980,25994,5096,13634,46801,1103569,1195094
2703,6,40,41,310,417892,237562,28670,118609,373333,8133979,8892153
2703,7,33,15,310,366274,221706,25065,120281,349846,6021999,6738897
2703,8,36,51,310,450977,292266,27572,159531,438426,6499190,7416985
2703,9,37,40,310,502199,342666,27731,185284,498534,6400427,7454642
2703,10,38,24,310,551824,391476,27807,214169,559193,6299573,7492218
2703,11,39,10,310,595297,434924,27812,246514,616080,6167760,7493090
2703,12,39,43,310,635397,475022,27812,282346,672683,6035225,7493088
2703,13,38,58,310,671308,510930,27812,321651,730002,5902690,7493085
2703,14,39,29,310,705189,544810,27812,363075,787232,5770155,7493084
2703,15,39,50,310,736860,576476,27812,404563,846606,5637622,7493079
2704,-1,4,35,400,94929,82004,2455,116603,326747,0,527809
2704,1,0,2,0,3,0,0,0,1,66,67
2704,2,0,2,0,13,0,0,0,15,324,339
2704,3,0,2,0,35,0,0,13,60,874,947
2704,4,0,2,0,54,0,0,30,136,1312,1478
2704,5,0,36,460,3330,1274,354,1202,3968,85908,92706
2704,6,4,23,430,30888,15078,3163,9306,35586,598424,661557
2704,7,13,43,420,112830,61372,8992,34367,149798,1810269,2064798
2704,8,42,53,420,367930,211588,29050,147572,502512,5210982,6101704
2704,9,100,14,410,998368,623470,70519,394397,1346364,12001301,14436051
2704,10,20,30,400,229834,155612,15320,88579,270253,2135105,2664869
2704,11,8,1,400,76091,50782,4914,53062,94846,891670,1095274
2704,12,8,41,400,83420,56589,5312,68083,106347,916822,1153153
2704,13,9,54,400,92112,63676,5677,82847,120472,948875,1221547
2704,14,10,29,400,102050,72012,5956,99510,135062,974778,1287318
2704,15,10,37,400,106928,76769,5979,110229,144977,953755,1291709
2705,-1,103,47,443,2671093,2306859,84197,3740847,7383734,0,13515637
2705,1,0,1,0,3,0,0,0,1,60,61
2705,2,0,2,0,13,0,0,0,15,364,379
2705,3,0,2,0,86,0,0,18,157,3141,3316
2705,4,0,3,0,165,0,0,60,439,5489,5988
2705,5,2,19,500,15113,6973,1459,4325,13917,340563,367237
2705,6,2,56,500,15549,4783,1311,6636,34503,367529,414762
2705,7,5,20,455,36946,16494,3730,18401,61636,670130,770391
2705,8,16,29,455,128454,66177,14174,97777,158519,2158359,2495006
2705,9,51,54,455,469391,259244,59676,393156,491554,6304705,7508335
2705,10,96,24,455,924778,547426,110388,844115,900603,11014433,13416965
2705,11,63,34,455,571646,331298,58839,619476,805208,7388120,9202941
2705,12,79,30,455,789563,481542,76032,893148,1100791,9021354,11572867
2705,13,69,41,455,781798,507101,65946,828106,1103462,7541452,10046067
2705,14,81,57,455,1001154,683063,78586,1020261,1331213,8466424,11579547
2705,15,58,54,455,683570,459226,48663,749538,1201629,6054168,8513224
2706,-1,8,57,260,102680,68780,214,30222,1661858,0,1761074
2706,1,0,3,0,3,0,0,0,1,74,75
2706,2,0,3,0,142,0,0,4,140,5712,5856
2706,3,0,8,0,523,0,0,101,948,21015,22064
2706,4,0,24,0,1775,18,0,428,4829,70842,76117
2706,5,1,39,280,7688,446,31,1429,26908,307732,336546
2706,6,2,39,265,13341,2019,73,3401,50608,518757,574858
2706,7,4,22,265,22203,4172,105,6541,96541,816638,923997
2706,8,5,55,265,31417,7259,137,10680,149797,1081723,1249596
2706,9,8,14,265,44389,11618,189,17048,231456,1441782,1702093
2706,10,10,2,265,56289,16393,242,22737,317130,1704511,2061013
2706,11,8,59,263,51923,17059,206,24092,304712,1499646,1845715
2706,12,9,29,263,56458,19989,210,27146,350946,1534269,1932560
2706,13,8,48,263,55205,21744,198,29311,347337,1395406,1793996
2706,14,8,57,263,58363,24477,200,31834,380797,1380853,1818161
2706,15,9,3,263,61527,27392,201,34132,412682,1357851,1832258
2710,-1,71,48,350,1383815,1159357,20846,968496,7598327,0,9747026
2710,1,0,2,0,3,0,0,0,1,80,81
2710,2,0,1,0,12,0,0,0,14,350,364
2710,3,0,4,0,128,11,4,16,198,5175,5404
2710,4,0,15,393,943,232,41,135,1594,34497,36499
2710,5,1,13,350,6904,2832,329,1673,10103,175004,189941
