order_id,topx_limit,time_taken (min),(seconds),score,nodes,pruned_rule1,pruned_rule4,pruned_filt1,pruned_filt2,pruned_filt5,total_pruned
1400,-1,0,1,266,333,234,13,876,506,0,1629
1400,1,0,0,0,3,0,0,0,1,62,63
1400,2,0,1,0,13,0,0,0,15,301,316
1400,3,0,0,0,14,1,0,12,16,287,316
1400,4,0,1,0,16,3,0,23,17,273,316
1400,5,0,0,0,21,8,0,27,22,259,316
1400,6,0,1,0,25,12,0,32,27,245,316
1400,7,0,0,0,27,14,0,38,32,232,316
1400,8,0,1,0,28,15,0,45,37,219,316
1400,9,0,0,0,31,18,0,51,41,206,316
1400,10,0,1,0,34,21,0,56,46,193,316
1400,11,0,0,0,36,23,0,60,53,180,316
1400,12,0,1,0,36,23,0,70,56,167,316
1400,13,0,0,0,37,24,0,76,62,154,316
1400,14,0,1,0,40,27,0,80,68,141,316
1400,15,0,0,0,42,29,0,86,73,128,316
1401,-1,0,7,270,2439,1953,107,7885,3123,0,13068
1401,1,0,0,0,5,0,1,0,0,85,86
1401,2,0,1,333,84,10,6,8,42,2498,2564
1401,3,0,3,300,266,68,32,38,185,5770,6093
1401,4,0,6,300,670,246,70,216,518,12408,13458
1401,5,0,8,300,983,389,102,622,835,17057,19005
1401,6,0,8,270,1139,477,114,1094,1013,18581,21279
1401,7,0,9,270,1211,539,117,1558,1059,18255,21528
1401,8,0,9,270,1289,616,117,1979,1106,17709,21527
1401,9,0,9,270,1356,680,117,2364,1200,17163,21524
1401,10,0,9,270,1445,768,117,2656,1365,16617,21523
1401,11,0,9,270,1520,841,117,2902,1590,16071,21521
1401,12,0,9,270,1615,935,117,3090,1853,15525,21520
1401,13,0,9,270,1709,1028,117,3299,2096,14979,21519
1401,14,0,8,270,1800,1116,117,3505,2345,14433,21516
1401,15,0,9,270,1869,1183,117,3809,2518,13887,21514
1402,-1,0,1,210,562,429,24,1899,888,0,3240
1402,1,0,0,0,3,0,0,0,1,60,61
1402,2,0,1,0,16,0,0,1,17,540,558
1402,3,0,1,210,31,7,0,18,20,854,899
1402,4,0,0,210,38,13,0,31,23,831,898
1402,5,0,1,210,46,21,0,37,32,808,898
1402,6,0,1,210,55,29,0,39,44,785,897
1402,7,0,0,210,59,32,0,52,49,763,896
1402,8,0,1,210,65,38,0,62,55,741,896
1402,9,0,1,210,74,47,0,72,58,719,896
1402,10,0,0,210,78,50,0,82,66,697,895
1402,11,0,1,210,82,53,0,90,76,675,894
1402,12,0,1,210,84,55,0,101,85,653,894
1402,13,0,0,210,87,58,0,116,89,631,894
1402,14,0,1,210,89,60,0,131,94,609,894
1402,15,0,1,210,90,61,0,145,101,587,894
1403,-1,0,3,210,1668,1354,53,5026,4235,0,10668
1403,1,0,1,0,7,0,0,0,1,230,231
1403,2,0,2,0,191,2,25,9,130,7484,7650
1403,3,0,3,0,223,17,27,129,188,8045,8406
1403,4,0,2,0,253,47,27,217,250,7865,8406
1403,5,0,2,0,328,122,27,262,310,7685,8406
